case,attack,kalman_residual,cusum_score,jitter_z,jitter_window,consensus,latency,delta_v
case9,baseline,0.02298,0.02298,0.1394,0.1394,0,0.343,0.02298
case9,branch2_out,0.024754,0.024754,2.6251,2.6251,0,0.331,0.024754
case9,branch3_out,0.023063,0.023063,4.6691,4.6691,1,0.333,0.023063
case9,impedance_perturb,0.022485,0.022485,5.7454,5.7454,1,0.408,0.022485
case9,load_shift,0.0224,0.0224,3.2746,3.2746,0,0.316,0.0224
case9,voltage_drift,0.055009,0.055009,2.4043,2.4043,1,0.321,0.055009
case14,baseline,0.048474,0.048474,0.1394,0.1394,0,0.319,0.048474
case14,branch1_out,0.043773,0.043773,2.6251,2.6251,0,0.348,0.043773
case14,branch2_out,0.045954,0.045954,4.6691,4.6691,1,0.327,0.045954
case14,branch3_out,0.046485,0.046485,5.7454,5.7454,1,0.321,0.046485
case14,impedance_perturb,0.048439,0.048439,3.2746,3.2746,0,0.317,0.048439
case14,load_shift,0.04667,0.04667,2.4043,2.4043,0,0.317,0.04667
case14,voltage_drift,0.081185,0.081185,2.1115,2.1115,1,0.349,0.081185
case30,baseline,0.018057,0.018057,0.1394,0.1394,0,0.35,0.018057
case30,branch1_out,0.018003,0.018003,2.6251,2.6251,0,0.335,0.018003
case30,branch2_out,0.019708,0.019708,4.6691,4.6691,0,0.35,0.019708
case30,branch3_out,0.019831,0.019831,5.7454,5.7454,0,0.324,0.019831
case30,impedance_perturb,0.018054,0.018054,3.2746,3.2746,0,0.319,0.018054
case30,load_shift,0.019623,0.019623,2.4043,2.4043,0,0.351,0.019623
case30,voltage_drift,0.013554,0.013554,2.1115,2.1115,0,0.324,0.013554
case118,baseline,0.022935,0.022935,0.1394,0.1394,0,0.408,0.022935
case118,branch1_out,0.022854,0.022854,2.6251,2.6251,0,0.447,0.022854
case118,branch2_out,0.022787,0.022787,4.6691,4.6691,1,0.386,0.022787
case118,branch3_out,0.022973,0.022973,5.7454,5.7454,1,0.376,0.022973
case118,impedance_perturb,0.022926,0.022926,3.2746,3.2746,0,0.373,0.022926
case118,load_shift,0.023529,0.023529,2.4043,2.4043,0,0.416,0.023529
case118,voltage_drift,0.021495,0.021495,2.1115,2.1115,0,0.355,0.021495
