case,attack,cusum_mean
case118,baseline,1.0251337650369152
case118,branch1_out,16.14400008317276
case118,branch2_out,17.339570211742362
case118,branch3_out,19.462689162892453
case14,baseline,1.0014757952031754
case14,branch1_out,18.03013401698494
case14,branch2_out,17.359214597522293
case14,branch3_out,13.279831882960321
case30,baseline,1.0504231436131497
case30,branch1_out,15.035924143004978
case30,branch2_out,15.801571316256737
case30,branch3_out,16.08114967518695
case9,baseline,0.9924761274259178
case9,branch1_out,18.614537584803262
case9,branch2_out,17.520141847711372
case9,branch3_out,17.62733434768523
