case,attack,nis_mean
case118,baseline,11.532492500264556
case118,branch1_out,24.053192588426196
case118,branch2_out,25.90937550349504
case118,branch3_out,28.473128573390277
case14,baseline,11.562954768253661
case14,branch1_out,24.73372264327184
case14,branch2_out,25.184457718592373
case14,branch3_out,22.402053508946707
case30,baseline,11.424398601212886
case30,branch1_out,24.66850183701108
case30,branch2_out,25.37629615524089
case30,branch3_out,24.620399880967366
case9,baseline,11.654376502776692
case9,branch1_out,24.834527513746266
case9,branch2_out,25.920142329844246
case9,branch3_out,24.474271813720925
