case,attack,kalman_residual,cusum_score,jitter_z,jitter_window,consensus,latency,delta_v
case9,baseline,0.022742,0.012742,0.1159,0.1159,0,0.431,0.02298
case9,impedance_perturb,0.023339,0.013339,2.4572,2.4572,0,0.312,0.022911
case9,load_shift,0.023256,0.013256,2.0973,2.0973,0,0.297,0.022839
case9,voltage_drift,0.026616,0.016616,1.4349,1.4349,0,0.283,0.027518
case9,resistance_shift,0.023107,0.013107,5.9214,5.9214,0,0.302,0.022969
case9,localized_load_attack,0.023585,0.013585,2.8737,2.8737,0,0.387,0.022614
case14,baseline,0.048584,0.038584,0.7383,0.7383,0,0.307,0.048474
case14,impedance_perturb,0.048589,0.038589,1.5233,1.5233,0,0.302,0.048335
case14,load_shift,0.047644,0.037644,3.1498,3.1498,0,0.387,0.048258
case14,voltage_drift,0.054542,0.044542,1.2519,1.2519,0,0.298,0.053929
case14,resistance_shift,0.048548,0.038548,0.7926,0.7926,0,0.299,0.048241
case14,localized_load_attack,0.048529,0.038529,2.2958,2.2958,0,0.365,0.048456
case30,baseline,0.018148,0.008148,0.5683,0.5683,0,0.339,0.018057
case30,impedance_perturb,0.018844,0.008844,1.2519,1.2519,0,0.309,0.0183
case30,load_shift,0.018347,0.008347,2.2958,2.2958,0,0.349,0.018277
case30,voltage_drift,0.014992,0.004992,6.07,6.07,0,0.342,0.014945
case30,resistance_shift,0.018387,0.008387,2.8092,2.8092,0,0.466,0.01827
case30,localized_load_attack,0.017996,0.007996,1.0897,1.0897,0,0.313,0.018057
case118,baseline,0.022924,0.012924,0.4462,0.4462,0,0.367,0.022935
case118,impedance_perturb,0.022816,0.012816,0.3257,0.3257,0,0.366,0.022985
case118,load_shift,0.022942,0.012942,2.976,2.976,0,0.338,0.022999
case118,voltage_drift,0.020688,0.010688,2.8398,2.8398,0,0.399,0.020569
case118,resistance_shift,0.023174,0.013174,5.5878,5.5878,0,0.325,0.022996
case118,localized_load_attack,0.022798,0.012798,1.0972,1.0972,0,0.362,0.022935
