time,case,attack,kalman_residual,cusum_score,jitter_z,kalman_detected,cusum_detected,jitter_detected,consensus,latency,delta_v
0,case9,baseline,0.022742,0.012742,0.1159,0,0,0,0,0.334,0.02298
1,case9,impedance_perturb,0.023339,0.013339,2.4572,0,0,0,0,0.367,0.022911
2,case9,load_shift,0.023256,0.013256,2.0973,0,0,0,0,0.462,0.022839
3,case9,voltage_drift,0.026616,0.016616,1.4349,1,0,0,0,0.294,0.027518
4,case9,resistance_shift,0.023107,0.013107,5.9214,0,0,1,0,0.307,0.022969
5,case9,localized_load_attack,0.023585,0.013585,2.8737,0,0,0,0,0.34,0.022614
6,case14,baseline,0.048584,0.038584,0.7383,1,0,0,0,0.335,0.048474
7,case14,impedance_perturb,0.048589,0.038589,1.5233,1,0,0,0,0.502,0.048335
8,case14,load_shift,0.047644,0.037644,3.1498,1,0,0,0,0.397,0.048258
9,case14,voltage_drift,0.054542,0.044542,1.2519,1,0,0,0,0.358,0.053929
10,case14,resistance_shift,0.048548,0.038548,0.7926,1,0,0,0,0.304,0.048241
11,case14,localized_load_attack,0.048529,0.038529,2.2958,1,0,0,0,0.317,0.048456
12,case30,baseline,0.018148,0.008148,0.5683,0,0,0,0,0.32,0.018057
13,case30,impedance_perturb,0.018844,0.008844,1.2519,0,0,0,0,0.379,0.0183
14,case30,load_shift,0.018347,0.008347,2.2958,0,0,0,0,0.335,0.018277
15,case30,voltage_drift,0.014992,0.004992,6.07,0,0,1,0,0.307,0.014945
16,case30,resistance_shift,0.018387,0.008387,2.8092,0,0,0,0,0.316,0.01827
17,case30,localized_load_attack,0.017996,0.007996,1.0897,0,0,0,0,0.303,0.018057
18,case118,baseline,0.022924,0.012924,0.4462,0,0,0,0,0.458,0.022935
19,case118,impedance_perturb,0.022816,0.012816,0.3257,0,0,0,0,0.348,0.022985
20,case118,load_shift,0.022942,0.012942,2.976,0,0,0,0,0.424,0.022999
21,case118,voltage_drift,0.020688,0.010688,2.8398,0,0,0,0,0.369,0.020569
22,case118,resistance_shift,0.023174,0.013174,5.5878,0,0,1,0,0.357,0.022996
23,case118,localized_load_attack,0.022798,0.012798,1.0972,0,0,0,0,0.357,0.022935
