round,total_weight,quorum,safety,prepare_weight,commit_weight,primary,status
1,101,59,54,55,0,C,fail
2,100,59,55,55,0,C,fail
3,108,71,0,108,0,A,fail
4,100,59,55,55,0,C,fail
5,108,71,0,108,0,A,fail
6,101,59,54,55,0,A,fail
7,100,66,0,54,0,A,fail
8,109,65,50,109,55,A,fail
9,101,59,54,55,0,A,fail
10,99,65,0,54,0,C,fail
11,99,65,0,54,0,C,fail
12,101,59,54,55,0,A,fail
13,108,71,0,108,0,A,fail
14,109,65,50,109,55,A,fail
15,108,71,0,108,0,A,fail
16,109,65,50,109,55,A,fail
17,110,55,100,110,110,A,success
18,100,66,0,54,0,A,fail
19,109,65,50,109,55,A,fail
20,90,59,0,0,0,A,fail
21,109,65,50,109,55,C,fail
22,100,66,0,54,0,A,fail
23,108,71,0,108,0,A,fail
24,99,65,0,54,0,C,fail
25,100,66,0,54,0,A,fail
26,110,55,100,110,110,A,success
27,109,65,50,109,55,C,fail
28,108,71,0,108,0,A,fail
29,100,66,0,54,0,A,fail
30,108,71,0,108,0,A,fail
31,109,65,50,109,55,C,fail
32,109,65,50,109,55,A,fail
33,109,65,50,109,55,C,fail
34,101,59,54,55,0,C,fail
35,108,71,0,108,0,A,fail
36,101,59,54,55,0,C,fail
37,99,65,0,54,0,C,fail
38,99,65,0,54,0,C,fail
39,110,55,100,110,110,A,success
40,91,60,0,0,0,A,fail
41,109,65,50,109,55,C,fail
42,100,66,0,54,0,C,fail
43,109,65,50,109,55,C,fail
44,100,59,55,55,0,A,fail
45,100,59,55,55,0,A,fail
46,109,65,50,109,55,C,fail
47,109,65,50,109,55,C,fail
48,110,55,100,110,110,A,success
49,109,65,50,109,55,A,fail
50,110,55,100,110,110,A,success
51,109,65,50,109,55,C,fail
52,109,65,50,109,55,C,fail
53,101,59,54,55,0,A,fail
54,99,65,0,54,0,A,fail
55,91,60,0,0,0,A,fail
56,109,65,50,109,55,C,fail
57,109,65,50,109,55,C,fail
58,110,55,100,110,110,A,success
59,100,66,0,54,0,A,fail
60,110,55,100,110,110,A,success
61,108,71,0,108,0,A,fail
62,109,65,50,109,55,C,fail
63,108,71,0,108,0,A,fail
64,90,59,0,0,0,A,fail
65,108,71,0,108,0,A,fail
66,100,59,55,55,0,C,fail
67,108,71,0,108,0,A,fail
68,100,59,55,55,0,C,fail
69,108,71,0,108,0,A,fail
70,108,71,0,108,0,A,fail
71,109,65,50,109,55,A,fail
72,108,71,0,108,0,A,fail
73,109,65,50,109,55,A,fail
74,100,59,55,55,0,A,fail
75,109,65,50,109,55,A,fail
76,108,71,0,108,0,A,fail
77,92,60,0,0,0,A,fail
78,109,65,50,109,55,A,fail
79,109,65,50,109,55,C,fail
80,109,65,50,109,55,A,fail
81,109,65,50,109,55,A,fail
82,109,65,50,109,55,C,fail
83,100,66,0,54,0,A,fail
84,109,65,50,109,55,C,fail
85,108,71,0,108,0,A,fail
86,110,55,100,110,110,A,success
87,99,65,0,54,0,A,fail
88,100,59,55,55,0,C,fail
89,109,65,50,109,55,A,fail
90,109,65,50,109,55,C,fail
91,108,71,0,108,0,A,fail
92,109,65,50,109,55,A,fail
93,99,65,0,54,0,A,fail
94,91,60,0,0,0,C,fail
95,100,59,55,55,0,A,fail
96,101,59,54,55,0,C,fail
97,100,66,0,54,0,C,fail
98,110,55,100,110,110,A,success
99,109,65,50,109,55,A,fail
100,100,66,0,54,0,A,fail
101,99,65,0,54,0,A,fail
102,109,65,50,109,55,C,fail
103,109,65,50,109,55,A,fail
104,101,59,54,55,0,C,fail
105,100,66,0,54,0,A,fail
106,108,71,0,108,0,A,fail
107,100,66,0,54,0,A,fail
108,100,59,55,55,0,C,fail
109,101,59,54,55,0,A,fail
110,101,59,54,55,0,A,fail
111,110,55,100,110,110,A,success
112,110,55,100,110,110,A,success
113,109,65,50,109,55,A,fail
114,100,66,0,54,0,C,fail
115,91,60,0,0,0,A,fail
116,90,59,0,0,0,A,fail
117,100,66,0,54,0,A,fail
118,108,71,0,108,0,A,fail
119,109,65,50,109,55,C,fail
120,110,55,100,110,110,A,success
121,99,65,0,54,0,A,fail
122,101,59,54,55,0,A,fail
123,90,59,0,0,0,A,fail
124,109,65,50,109,55,A,fail
125,100,59,55,55,0,A,fail
126,108,71,0,108,0,A,fail
127,100,59,55,55,0,C,fail
128,100,59,55,55,0,A,fail
129,100,59,55,55,0,C,fail
130,91,60,0,0,0,C,fail
131,101,59,54,55,0,A,fail
132,110,55,100,110,110,A,success
133,109,65,50,109,55,C,fail
134,99,65,0,54,0,C,fail
135,99,65,0,54,0,A,fail
136,108,71,0,108,0,A,fail
137,109,65,50,109,55,A,fail
138,100,59,55,55,0,A,fail
139,109,65,50,109,55,A,fail
140,108,71,0,108,0,A,fail
141,100,59,55,55,0,C,fail
142,109,65,50,109,55,C,fail
143,109,65,50,109,55,A,fail
144,100,66,0,54,0,C,fail
145,101,59,54,55,0,A,fail
146,100,66,0,54,0,C,fail
147,100,66,0,54,0,C,fail
148,101,59,54,55,0,A,fail
149,108,71,0,108,0,A,fail
150,110,55,100,110,110,A,success
151,101,59,54,55,0,A,fail
152,101,59,54,55,0,C,fail
153,110,55,100,110,110,A,success
154,108,71,0,108,0,A,fail
155,99,65,0,54,0,C,fail
156,101,59,54,55,0,C,fail
157,109,65,50,109,55,A,fail
158,109,65,50,109,55,A,fail
159,100,66,0,54,0,A,fail
160,101,59,54,55,0,A,fail
161,109,65,50,109,55,C,fail
162,108,71,0,108,0,A,fail
163,109,65,50,109,55,C,fail
164,110,55,100,110,110,A,success
165,101,59,54,55,0,C,fail
166,110,55,100,110,110,A,success
167,108,71,0,108,0,A,fail
168,110,55,100,110,110,A,success
169,109,65,50,109,55,C,fail
170,101,59,54,55,0,A,fail
171,90,59,0,0,0,A,fail
172,109,65,50,109,55,C,fail
173,110,55,100,110,110,A,success
174,100,66,0,54,0,A,fail
175,100,66,0,54,0,A,fail
176,101,59,54,55,0,A,fail
177,108,71,0,108,0,A,fail
178,108,71,0,108,0,A,fail
179,108,71,0,108,0,A,fail
180,101,59,54,55,0,A,fail
181,108,71,0,108,0,A,fail
182,109,65,50,109,55,C,fail
183,109,65,50,109,55,C,fail
184,92,60,0,0,0,A,fail
185,109,65,50,109,55,A,fail
186,108,71,0,108,0,A,fail
187,109,65,50,109,55,A,fail
188,110,55,100,110,110,A,success
189,108,71,0,108,0,A,fail
190,110,55,100,110,110,A,success
191,99,65,0,54,0,C,fail
192,108,71,0,108,0,A,fail
193,109,65,50,109,55,A,fail
194,100,59,55,55,0,A,fail
195,109,65,50,109,55,A,fail
196,91,60,0,0,0,A,fail
197,110,55,100,110,110,A,success
198,109,65,50,109,55,A,fail
199,110,55,100,110,110,A,success
200,109,65,50,109,55,A,fail
201,91,60,0,0,0,A,fail
202,101,59,54,55,0,C,fail
203,110,55,100,110,110,A,success
204,100,66,0,54,0,C,fail
205,110,55,100,110,110,A,success
206,109,65,50,109,55,C,fail
207,100,59,55,55,0,C,fail
208,109,65,50,109,55,A,fail
209,109,65,50,109,55,C,fail
210,109,65,50,109,55,C,fail
211,91,60,0,0,0,C,fail
212,99,65,0,54,0,C,fail
213,108,71,0,108,0,A,fail
214,99,65,0,54,0,A,fail
215,108,71,0,108,0,A,fail
216,100,59,55,55,0,C,fail
217,91,60,0,0,0,C,fail
218,108,71,0,108,0,A,fail
219,99,65,0,54,0,C,fail
220,101,59,54,55,0,C,fail
221,100,59,55,55,0,A,fail
222,99,65,0,54,0,A,fail
223,109,65,50,109,55,A,fail
224,101,59,54,55,0,A,fail
225,101,59,54,55,0,A,fail
226,109,65,50,109,55,A,fail
227,110,55,100,110,110,A,success
228,110,55,100,110,110,A,success
229,110,55,100,110,110,A,success
230,108,71,0,108,0,A,fail
231,108,71,0,108,0,A,fail
232,109,65,50,109,55,C,fail
233,100,59,55,55,0,A,fail
234,110,55,100,110,110,A,success
235,101,59,54,55,0,A,fail
236,108,71,0,108,0,A,fail
237,108,71,0,108,0,A,fail
238,91,60,0,0,0,C,fail
239,101,59,54,55,0,C,fail
240,108,71,0,108,0,A,fail
241,109,65,50,109,55,A,fail
242,101,59,54,55,0,A,fail
243,110,55,100,110,110,A,success
244,101,59,54,55,0,A,fail
245,109,65,50,109,55,A,fail
246,92,60,0,0,0,A,fail
247,110,55,100,110,110,A,success
248,100,66,0,54,0,C,fail
249,99,65,0,54,0,C,fail
250,109,65,50,109,55,A,fail
251,109,65,50,109,55,A,fail
252,109,65,50,109,55,A,fail
253,101,59,54,55,0,C,fail
254,108,71,0,108,0,A,fail
255,109,65,50,109,55,A,fail
256,110,55,100,110,110,A,success
257,109,65,50,109,55,C,fail
258,108,71,0,108,0,A,fail
259,101,59,54,55,0,A,fail
260,109,65,50,109,55,A,fail
261,108,71,0,108,0,A,fail
262,109,65,50,109,55,C,fail
263,109,65,50,109,55,A,fail
264,110,55,100,110,110,A,success
265,110,55,100,110,110,A,success
266,100,59,55,55,0,A,fail
267,100,66,0,54,0,A,fail
268,100,59,55,55,0,C,fail
269,100,59,55,55,0,C,fail
270,90,59,0,0,0,A,fail
271,110,55,100,110,110,A,success
272,109,65,50,109,55,A,fail
273,100,66,0,54,0,A,fail
274,109,65,50,109,55,C,fail
275,99,65,0,54,0,A,fail
276,109,65,50,109,55,A,fail
277,100,59,55,55,0,C,fail
278,99,65,0,54,0,C,fail
279,109,65,50,109,55,A,fail
280,109,65,50,109,55,A,fail
281,110,55,100,110,110,A,success
282,101,59,54,55,0,C,fail
283,110,55,100,110,110,A,success
284,108,71,0,108,0,A,fail
285,108,71,0,108,0,A,fail
286,109,65,50,109,55,C,fail
287,101,59,54,55,0,A,fail
288,101,59,54,55,0,A,fail
289,108,71,0,108,0,A,fail
290,90,59,0,0,0,A,fail
291,108,71,0,108,0,A,fail
292,109,65,50,109,55,C,fail
293,109,65,50,109,55,C,fail
294,109,65,50,109,55,C,fail
295,108,71,0,108,0,A,fail
296,109,65,50,109,55,A,fail
297,100,66,0,54,0,C,fail
298,109,65,50,109,55,C,fail
299,100,66,0,54,0,A,fail
300,109,65,50,109,55,A,fail
301,101,59,54,55,0,C,fail
302,108,71,0,108,0,A,fail
303,99,65,0,54,0,C,fail
304,100,66,0,54,0,C,fail
305,100,66,0,54,0,A,fail
306,101,59,54,55,0,C,fail
307,100,66,0,54,0,C,fail
308,99,65,0,54,0,C,fail
309,91,60,0,0,0,A,fail
310,109,65,50,109,55,C,fail
311,101,59,54,55,0,A,fail
312,110,55,100,110,110,A,success
313,110,55,100,110,110,A,success
314,91,60,0,0,0,A,fail
315,100,66,0,54,0,A,fail
316,108,71,0,108,0,A,fail
317,109,65,50,109,55,A,fail
318,109,65,50,109,55,A,fail
319,109,65,50,109,55,C,fail
320,109,65,50,109,55,A,fail
321,99,65,0,54,0,C,fail
322,110,55,100,110,110,A,success
323,109,65,50,109,55,C,fail
324,99,65,0,54,0,A,fail
325,109,65,50,109,55,C,fail
326,100,59,55,55,0,C,fail
327,110,55,100,110,110,A,success
328,110,55,100,110,110,A,success
329,110,55,100,110,110,A,success
330,100,66,0,54,0,C,fail
331,109,65,50,109,55,C,fail
