seed,v_p,v_m,v_a,consensus,mitigation
0,1,1,0,1,1
1,0,0,1,0,0
2,0,0,0,0,0
3,0,0,1,0,0
4,0,1,0,0,0
5,1,1,0,1,1
6,0,1,1,1,1
7,1,0,1,1,1
8,0,1,1,1,1
9,1,1,1,1,1
10,0,1,1,1,1
11,1,1,1,1,1
12,1,1,1,1,1
13,1,1,0,1,1
14,0,0,1,0,0
15,0,0,0,0,0
16,1,1,1,1,1
17,1,1,1,1,1
18,0,0,1,0,0
19,0,0,0,0,0
20,0,1,0,0,0
21,0,1,1,1,1
22,0,0,0,0,0
23,1,0,0,0,0
24,1,0,0,0,0
25,1,0,0,0,0
26,0,0,1,0,0
27,1,1,1,1,1
28,0,0,0,0,0
29,0,1,1,1,1
30,1,0,0,0,0
31,0,1,0,0,0
32,0,0,0,0,0
33,0,0,1,0,0
34,1,0,0,0,0
35,1,0,1,1,1
36,1,0,0,0,0
37,0,0,1,0,0
38,1,1,0,1,1
39,0,1,1,1,1
40,1,0,0,0,0
41,1,1,0,1,1
42,0,0,1,0,0
43,0,1,0,0,0
44,1,0,0,0,0
45,1,1,1,1,1
46,0,1,0,0,0
47,1,0,1,1,1
48,1,0,1,1,1
49,0,1,1,1,1
50,1,1,1,1,1
51,0,0,0,0,0
52,1,0,1,1,1
53,0,1,1,1,1
54,0,1,1,1,1
55,0,0,0,0,0
56,0,1,1,1,1
57,0,1,0,0,0
58,0,0,0,0,0
59,0,0,1,0,0
60,1,1,0,1,1
61,1,0,0,0,0
62,0,0,0,0,0
63,1,1,1,1,1
64,1,0,1,1,1
65,1,1,1,1,1
66,0,1,1,1,1
67,0,0,1,0,0
68,1,0,0,0,0
69,0,0,0,0,0
70,0,1,1,1,1
71,1,0,1,1,1
72,0,0,1,0,0
73,1,0,1,1,1
74,0,1,0,0,0
75,1,1,1,1,1
76,1,1,1,1,1
77,1,1,0,1,1
78,0,0,1,0,0
79,0,1,1,1,1
80,1,1,1,1,1
81,1,1,1,1,1
82,0,1,1,1,1
83,1,1,0,1,1
84,1,0,1,1,1
85,0,0,1,0,0
86,0,1,0,0,0
87,0,0,0,0,0
88,1,0,1,1,1
89,0,1,0,0,0
90,0,0,1,0,0
91,0,0,0,0,0
92,1,1,0,1,1
93,1,1,0,1,1
94,0,0,1,0,0
95,0,1,0,0,0
96,1,1,1,1,1
97,0,1,1,1,1
98,1,0,1,1,1
99,1,1,0,1,1
