initial_trust,initial_risk,round,quorum
0.1,0.0,0,0.63
0.1,0.0,1,0.63
0.1,0.0,2,0.6299961109121945
0.1,0.0,3,0.6299878746679873
0.1,0.0,4,0.6299613789040942
0.1,0.0,5,0.6299532172936749
0.1,0.0,6,0.6299289052762147
0.1,0.0,7,0.6299289052762147
0.1,0.0,8,0.6299242190791006
0.1,0.0,9,0.6299002347884277
0.1,0.0,10,0.6298816950343831
0.1,0.0,11,0.6298816950343831
0.1,0.0,12,0.6298816950343831
0.1,0.0,13,0.6298646684467392
0.1,0.0,14,0.6298646684467392
0.1,0.0,15,0.6298646684467392
0.1,0.0,16,0.6298476928710399
0.1,0.0,17,0.6298476928710399
0.1,0.0,18,0.6298241711359324
0.1,0.0,19,0.6298091102099795
0.1,0.0,20,0.629778147497053
0.1,0.0,21,0.629778147497053
0.1,0.0,22,0.6297492374562523
0.1,0.0,23,0.6297492374562523
0.1,0.0,24,0.6297427043127831
0.1,0.0,25,0.6297427043127831
0.1,0.0,26,0.6297427043127831
0.1,0.0,27,0.6297427043127831
0.1,0.0,28,0.6297121040202669
0.1,0.0,29,0.6297102519836392
0.1,0.0,30,0.6297102519836392
0.1,0.0,31,0.6297102519836392
0.1,0.0,32,0.6296834001797623
0.1,0.0,33,0.6296834001797623
0.1,0.0,34,0.6296787490061186
0.1,0.0,35,0.629669501510676
0.1,0.0,36,0.629649339146796
0.1,0.0,37,0.6296190313860927
0.1,0.0,38,0.6296190313860927
0.1,0.0,39,0.6296190313860927
0.1,0.0,40,0.6296086542886259
0.1,0.0,41,0.629589242526299
0.1,0.0,42,0.6295727832822582
0.1,0.0,43,0.6295727832822582
0.1,0.0,44,0.6295660590531948
0.1,0.0,45,0.6295370089717318
0.1,0.0,46,0.6295329993283567
0.1,0.0,47,0.6295329993283567
0.1,0.0,48,0.6295299688986414
0.1,0.0,49,0.6295299688986414
0.1,0.0,50,0.6295205615488354
0.1,0.0,51,0.6294978473334928
0.1,0.0,52,0.6294978473334928
0.1,0.0,53,0.6294978473334928
0.1,0.0,54,0.6294978473334928
0.1,0.0,55,0.6294978473334928
0.1,0.0,56,0.6294978473334928
0.1,0.0,57,0.6294638850650253
0.1,0.0,58,0.6294638850650253
0.1,0.0,59,0.6294589102874537
0.1,0.0,60,0.6294589102874537
0.1,0.0,61,0.6294300271002553
0.1,0.0,62,0.6294021387622181
0.1,0.0,63,0.6293945831667582
0.1,0.0,64,0.629365763166266
0.1,0.0,65,0.629365763166266
0.1,0.0,66,0.629365763166266
0.1,0.0,67,0.629365763166266
0.1,0.0,68,0.6293400520789058
0.1,0.0,69,0.6293262281194684
0.1,0.0,70,0.629311037825109
0.1,0.0,71,0.6293041893004944
0.1,0.0,72,0.6293041893004944
0.1,0.0,73,0.6292886228210595
0.1,0.0,74,0.6292886228210595
0.1,0.0,75,0.6292886228210595
0.1,0.0,76,0.6292836302348002
0.1,0.0,77,0.6292836302348002
0.1,0.0,78,0.6292750469074503
0.1,0.0,79,0.6292750469074503
0.1,0.0,80,0.6292482946388669
0.1,0.0,81,0.6292482946388669
0.1,0.0,82,0.6292192378615127
0.1,0.0,83,0.6291965293420732
0.1,0.0,84,0.6291915398020137
0.1,0.0,85,0.6291724839330022
0.1,0.0,86,0.6291500934155138
0.1,0.0,87,0.6291500934155138
0.1,0.0,88,0.6291500934155138
0.1,0.0,89,0.6291482770506255
0.1,0.0,90,0.6291320045503425
0.1,0.0,91,0.6291320045503425
0.1,0.0,92,0.6291320045503425
0.1,0.0,93,0.6291104181854321
0.1,0.0,94,0.6291104181854321
0.1,0.0,95,0.6291104181854321
0.1,0.0,96,0.6291104181854321
0.1,0.0,97,0.6291104181854321
0.1,0.0,98,0.6291104181854321
0.1,0.0,99,0.6290994986422147
0.1,0.04736842105263158,0,0.63
0.1,0.04736842105263158,1,0.6299791649773597
0.1,0.04736842105263158,2,0.6299163794122159
0.1,0.04736842105263158,3,0.6299163794122159
0.1,0.04736842105263158,4,0.6298744767704854
0.1,0.04736842105263158,5,0.6298712599639584
0.1,0.04736842105263158,6,0.6298512191239948
0.1,0.04736842105263158,7,0.6298210409506753
0.1,0.04736842105263158,8,0.6298056319530183
0.1,0.04736842105263158,9,0.6297897039027409
0.1,0.04736842105263158,10,0.6297444152340944
0.1,0.04736842105263158,11,0.6297245385753294
0.1,0.04736842105263158,12,0.6296761298799916
0.1,0.04736842105263158,13,0.6296759878812159
0.1,0.04736842105263158,14,0.6296735769588703
0.1,0.04736842105263158,15,0.6296071851297272
0.1,0.04736842105263158,16,0.629603215717589
0.1,0.04736842105263158,17,0.6295375203321645
0.1,0.04736842105263158,18,0.6295003609535906
0.1,0.04736842105263158,19,0.6294650634775439
0.1,0.04736842105263158,20,0.6294101379346951
0.1,0.04736842105263158,21,0.6293655083745539
0.1,0.04736842105263158,22,0.6293197055104903
0.1,0.04736842105263158,23,0.6292574154298446
0.1,0.04736842105263158,24,0.6292220508811637
0.1,0.04736842105263158,25,0.6291716665525847
0.1,0.04736842105263158,26,0.629106626218545
0.1,0.04736842105263158,27,0.6290681402047983
0.1,0.04736842105263158,28,0.629054807295148
0.1,0.04736842105263158,29,0.6290504431345005
0.1,0.04736842105263158,30,0.6289899941404753
0.1,0.04736842105263158,31,0.6289668143747488
0.1,0.04736842105263158,32,0.6289259026704612
0.1,0.04736842105263158,33,0.6288618662399942
0.1,0.04736842105263158,34,0.6288147412444883
0.1,0.04736842105263158,35,0.6287699469634088
0.1,0.04736842105263158,36,0.628720085534143
0.1,0.04736842105263158,37,0.6286936249584579
0.1,0.04736842105263158,38,0.6286908570022821
0.1,0.04736842105263158,39,0.6286670676959649
0.1,0.04736842105263158,40,0.628613985407431
0.1,0.04736842105263158,41,0.6285755565446327
0.1,0.04736842105263158,42,0.6285667687572313
0.1,0.04736842105263158,43,0.6285667687572313
0.1,0.04736842105263158,44,0.6285238554762899
0.1,0.04736842105263158,45,0.6285168773881932
0.1,0.04736842105263158,46,0.6285103334834795
0.1,0.04736842105263158,47,0.6284525804861313
0.1,0.04736842105263158,48,0.6283887721134914
0.1,0.04736842105263158,49,0.6283353075473411
0.1,0.04736842105263158,50,0.6282884151474957
0.1,0.04736842105263158,51,0.6282310229407683
0.1,0.04736842105263158,52,0.6281705143203761
0.1,0.04736842105263158,53,0.6281304026099224
0.1,0.04736842105263158,54,0.6280751651140781
0.1,0.04736842105263158,55,0.6280283864263245
0.1,0.04736842105263158,56,0.6279687087444883
0.1,0.04736842105263158,57,0.6279051165357832
0.1,0.04736842105263158,58,0.6278873251600463
0.1,0.04736842105263158,59,0.6278218765885487
0.1,0.04736842105263158,60,0.6277748563569403
0.1,0.04736842105263158,61,0.62776718143995
0.1,0.04736842105263158,62,0.6277122398255066
0.1,0.04736842105263158,63,0.6276454479174443
0.1,0.04736842105263158,64,0.6276454479174443
0.1,0.04736842105263158,65,0.6275906547109369
0.1,0.04736842105263158,66,0.6275276014897503
