case,attack,consensus
case9,baseline,0
case9,impedance_perturb,0
case9,load_shift,0
case9,voltage_drift,0
case9,resistance_shift,0
case9,localized_load_attack,0
case14,baseline,0
case14,impedance_perturb,0
case14,load_shift,0
case14,voltage_drift,0
case14,resistance_shift,0
case14,localized_load_attack,0
case30,baseline,0
case30,impedance_perturb,0
case30,load_shift,0
case30,voltage_drift,0
case30,resistance_shift,0
case30,localized_load_attack,0
case118,baseline,0
case118,impedance_perturb,0
case118,load_shift,0
case118,voltage_drift,0
case118,resistance_shift,0
case118,localized_load_attack,0
