time,attack,num_agents_triggered,consensus,consensus_confidence,disagreement_score
0,baseline,0,0,0.0,0.0
1,baseline,0,0,0.0,0.0
2,baseline,0,0,0.0,0.0
3,baseline,0,0,0.0,0.0
4,baseline,0,0,0.0,0.0
5,baseline,0,0,0.0,0.0
6,baseline,0,0,0.0,0.0
7,baseline,0,0,0.0,0.0
8,baseline,0,0,0.0,0.0
9,baseline,0,0,0.0,0.0
10,baseline,0,0,0.0,0.0
11,baseline,0,0,0.0,0.0
12,baseline,0,0,0.0,0.0
13,baseline,0,0,0.0,0.0
14,baseline,0,0,0.0,0.0
15,baseline,0,0,0.0,0.0
16,baseline,0,0,0.0,0.0
17,baseline,0,0,0.0,0.0
18,baseline,0,0,0.0,0.0
19,baseline,0,0,0.0,0.0
20,baseline,0,0,0.0,0.0
21,baseline,0,0,0.0,0.0
22,baseline,0,0,0.0,0.0
23,baseline,0,0,0.0,0.0
24,baseline,0,0,0.0,0.0
25,baseline,0,0,0.0,0.0
26,baseline,0,0,0.0,0.0
27,baseline,0,0,0.0,0.0
28,baseline,0,0,0.0,0.0
29,baseline,0,0,0.0,0.0
30,baseline,0,0,0.0,0.0
31,baseline,0,0,0.0,0.0
32,baseline,0,0,0.0,0.0
33,baseline,0,0,0.0,0.0
34,baseline,0,0,0.0,0.0
35,baseline,0,0,0.0,0.0
36,baseline,0,0,0.0,0.0
37,baseline,0,0,0.0,0.0
38,baseline,0,0,0.0,0.0
39,baseline,0,0,0.0,0.0
40,baseline,0,0,0.0,0.0
41,baseline,0,0,0.0,0.0
42,baseline,0,0,0.0,0.0
43,baseline,0,0,0.0,0.0
44,baseline,0,0,0.0,0.0
45,baseline,0,0,0.0,0.0
46,baseline,0,0,0.0,0.0
47,baseline,0,0,0.0,0.0
48,baseline,0,0,0.0,0.0
49,baseline,0,0,0.0,0.0
50,baseline,0,0,0.0,0.0
51,baseline,0,0,0.0,0.0
52,baseline,0,0,0.0,0.0
53,baseline,0,0,0.0,0.0
54,baseline,0,0,0.0,0.0
55,baseline,0,0,0.0,0.0
56,baseline,0,0,0.0,0.0
57,baseline,0,0,0.0,0.0
58,baseline,0,0,0.0,0.0
59,baseline,0,0,0.0,0.0
60,baseline,0,0,0.0,0.0
61,baseline,0,0,0.0,0.0
62,baseline,0,0,0.0,0.0
63,baseline,0,0,0.0,0.0
64,baseline,0,0,0.0,0.0
65,baseline,0,0,0.0,0.0
66,baseline,0,0,0.0,0.0
67,baseline,0,0,0.0,0.0
68,baseline,0,0,0.0,0.0
69,baseline,0,0,0.0,0.0
70,baseline,0,0,0.0,0.0
71,baseline,0,0,0.0,0.0
72,baseline,0,0,0.0,0.0
