time,attack,kalman_residual,cusum_score,jitter_z,kalman_detected,cusum_detected,jitter_detected,consensus,consensus_confidence,disagreement_score,delta_v,latency
0,baseline,0.020745,0.000745,0.951607,0,0,0,0,0.0,0.0,0.021295,0.345691
1,baseline,0.019649,0.000394,0.918052,0,0,0,0,0.0,0.0,0.023158,0.323023
2,baseline,0.019296,0.0,1.189896,0,0,0,0,0.0,0.0,0.019073,0.286028
3,baseline,0.020363,0.000363,0.330352,0,0,0,0,0.0,0.0,0.01655,0.283131
4,baseline,0.018481,0.0,1.109987,0,0,0,0,0.0,0.0,0.018184,0.257631
5,baseline,0.022198,0.002198,0.920978,0,0,0,0,0.0,0.0,0.020135,0.257258
6,baseline,0.019183,0.001382,1.038823,0,0,0,0,0.0,0.0,0.017698,0.311271
7,baseline,0.019099,0.000481,0.897907,0,0,0,0,0.0,0.0,0.018797,0.355568
8,baseline,0.01998,0.000461,0.629801,0,0,0,0,0.0,0.0,0.021645,0.263375
9,baseline,0.020313,0.000774,0.314115,0,0,0,0,0.0,0.0,0.017344,0.305906
10,baseline,0.021108,0.001882,1.059979,0,0,0,0,0.0,0.0,0.019769,0.290967
11,baseline,0.017782,0.0,0.748055,0,0,0,0,0.0,0.0,0.019079,0.331714
12,baseline,0.020515,0.000515,0.382936,0,0,0,0,0.0,0.0,0.020648,0.288448
13,baseline,0.018985,0.0,1.214087,0,0,0,0,0.0,0.0,0.022062,0.327938
14,baseline,0.018741,0.0,0.891776,0,0,0,0,0.0,0.0,0.020663,0.329266
15,baseline,0.019281,0.0,0.935019,0,0,0,0,0.0,0.0,0.017787,0.264114
16,baseline,0.021219,0.001219,1.474684,0,0,0,0,0.0,0.0,0.019856,0.330106
17,baseline,0.020542,0.001761,0.774208,0,0,0,0,0.0,0.0,0.020723,0.346141
18,baseline,0.019946,0.001708,1.547625,0,0,0,0,0.0,0.0,0.014761,0.324657
19,baseline,0.020131,0.001838,0.895347,0,0,0,0,0.0,0.0,0.020184,0.240373
20,baseline,0.01967,0.001509,1.124989,0,0,0,0,0.0,0.0,0.022956,0.284452
21,baseline,0.018787,0.000296,0.824385,0,0,0,0,0.0,0.0,0.021831,0.309863
22,baseline,0.019205,0.0,1.179644,0,0,0,0,0.0,0.0,0.020194,0.329059
23,baseline,0.018947,0.0,0.885318,0,0,0,0,0.0,0.0,0.019216,0.256095
24,baseline,0.020444,0.000444,1.091369,0,0,0,0,0.0,0.0,0.02001,0.292962
25,baseline,0.017877,0.0,0.852774,0,0,0,0,0.0,0.0,0.019315,0.275932
26,baseline,0.019758,0.0,1.141418,0,0,0,0,0.0,0.0,0.023772,0.305237
27,baseline,0.020386,0.000386,0.973944,0,0,0,0,0.0,0.0,0.016162,0.299205
28,baseline,0.02009,0.000477,1.862135,0,0,0,0,0.0,0.0,0.019615,0.309046
29,baseline,0.019948,0.000425,0.590963,0,0,0,0,0.0,0.0,0.022286,0.322558
30,baseline,0.021187,0.001611,0.681714,0,0,0,0,0.0,0.0,0.022806,0.257944
31,baseline,0.02088,0.002491,1.766659,0,0,0,0,0.0,0.0,0.018019,0.283011
32,baseline,0.020149,0.002641,0.823784,0,0,0,0,0.0,0.0,0.016899,0.302057
