kalman_anomaly,cusum_alarm,jitter_detected,consensus
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,1,1
0,0,0,0
1,1,1,1
1,1,0,1
1,0,0,0
1,0,0,0
1,1,0,1
1,1,0,1
1,0,0,0
1,1,1,1
1,1,1,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
0,0,0,0
1,1,1,1
1,0,0,0
1,1,0,1
1,1,0,1
1,0,0,0
1,0,0,0
1,1,1,1
1,0,0,0
1,1,0,1
1,0,0,0
1,0,0,0
1,1,1,1
1,1,0,1
1,1,1,1
1,1,0,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0,1
1,1,0,1
1,1,1,1
1,1,1,1
1,1,0,1
1,1,1,1
0,1,0,0
1,1,0,1
1,1,1,1
1,1,0,1
1,1,1,1
1,1,1,1
1,1,1,1
1,0,0,0
1,1,1,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
0,0,0,0
0,0,0,0
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,1,1
1,1,0,1
1,0,0,0
1,1,0,1
1,1,1,1
0,0,0,0
0,0,0,0
1,1,1,1
1,1,1,1
1,1,0,1
1,1,1,1
1,1,0,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0,0
1,1,1,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,1,1,1
1,1,1,1
1,1,0,1
1,1,1,1
1,0,1,1
1,1,0,1
