case,attack,consensus
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,baseline,0
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,0
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,0
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,0
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,0
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,0
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,0
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,0
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,0
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,1
case9,branch1_out,0
case9,branch1_out,1
