case,attack,cusum_score
case9,baseline,0.012742
case9,impedance_perturb,0.013339
case9,load_shift,0.013256
case9,voltage_drift,0.016616
case9,resistance_shift,0.013107
case9,localized_load_attack,0.013585
case14,baseline,0.038584
case14,impedance_perturb,0.038589
case14,load_shift,0.037644
case14,voltage_drift,0.044542
case14,resistance_shift,0.038548
case14,localized_load_attack,0.038529
case30,baseline,0.008148
case30,impedance_perturb,0.008844
case30,load_shift,0.008347
case30,voltage_drift,0.004992
case30,resistance_shift,0.008387
case30,localized_load_attack,0.007996
case118,baseline,0.012924
case118,impedance_perturb,0.012816
case118,load_shift,0.012942
case118,voltage_drift,0.010688
case118,resistance_shift,0.013174
case118,localized_load_attack,0.012798
