case,attack,jitter_z
case9,baseline,0.49689244610629
case9,baseline,0.2383635000320198
case9,baseline,0.0579908566462991
case9,baseline,0.3647555614054915
case9,baseline,0.3215168835550767
case9,baseline,0.6912000099840899
case9,baseline,0.1088820250455425
case9,baseline,0.3849965218222147
case9,baseline,0.36095649000089
case9,baseline,0.4220194499198555
case9,baseline,0.3825352938119842
case9,baseline,0.5289687162796379
case9,baseline,0.1988688770814397
case9,baseline,0.7015766705831031
case9,baseline,0.5702393912213506
case9,baseline,0.6611752064069003
case9,baseline,0.830965030255433
case9,baseline,0.750369222795371
case9,baseline,0.5689993633386624
case9,baseline,0.7069118495977165
case9,baseline,0.4112890625581992
case9,baseline,0.2699633168356709
case9,baseline,0.8375081085693087
case9,baseline,0.4649169465563243
case9,baseline,0.4455427266004543
case9,baseline,0.4161540040683413
case9,baseline,0.562327346898991
case9,baseline,0.0616238399948181
case9,baseline,0.3674646956461806
case9,baseline,0.0254174234181735
case9,baseline,0.4997939997714435
case9,baseline,0.8608645378912265
case9,baseline,0.4305356267808019
case9,baseline,0.3436147481687742
case9,baseline,0.4334879944289056
case9,baseline,0.7497473391938472
case9,baseline,0.2650302037172649
case9,baseline,0.6369321785042956
case9,baseline,0.3225365228021052
case9,baseline,0.1060386659364224
case9,baseline,0.5886871222996501
case9,baseline,0.8472498453524105
case9,baseline,0.4431975862554043
case9,baseline,0.360643440795072
case9,baseline,0.4995305856148574
case9,baseline,1.2410703711729674
case9,baseline,0.1592604676391525
case9,baseline,1.168517908378479
case9,baseline,0.6256912325231804
case9,baseline,0.6421218400761617
case9,baseline,0.6654123050470496
case9,baseline,1.385447867507437
case9,baseline,0.9022713268615792
case9,baseline,0.3361339270275458
case9,baseline,0.4613992537072987
case9,baseline,0.2514800377993252
case9,baseline,0.550583303551845
case9,baseline,0.9295727851601612
case9,baseline,0.1238243554610521
case9,baseline,1.1287503103845753
case9,branch1_out,7.196641781964886
case9,branch1_out,2.138353844937046
case9,branch1_out,0.8559817426522267
case9,branch1_out,4.43338130775341
case9,branch1_out,7.658928336117538
case9,branch1_out,5.882993951170199
case9,branch1_out,6.622660716744206
case9,branch1_out,1.5072383699514371
case9,branch1_out,2.1378968784350416
case9,branch1_out,4.656385051311784
case9,branch1_out,8.426423239877328
case9,branch1_out,3.265574328672063
case9,branch1_out,1.187520731687546
case9,branch1_out,1.744879074535192
case9,branch1_out,4.725574802498077
case9,branch1_out,8.817420472220045
case9,branch1_out,3.41258400356364
case9,branch1_out,2.382546199909622
case9,branch1_out,2.960955112893125
case9,branch1_out,2.9851785382872986
case9,branch1_out,3.1905079658881728
case9,branch1_out,1.302887111925217
case9,branch1_out,4.889888300633521
case9,branch1_out,7.50137628392606
case9,branch1_out,3.88179690460483
case9,branch1_out,2.8378731816894813
case9,branch1_out,4.921647551971286
case9,branch1_out,1.7528622541602503
case9,branch1_out,2.4715629179948797
case9,branch1_out,3.839359237343596
case9,branch1_out,7.176809804028883
case9,branch1_out,1.7566435656376933
case9,branch1_out,3.2211911793271706
case9,branch1_out,2.641928769622967
case9,branch1_out,3.6756988938891366
case9,branch1_out,1.583444339823659
case9,branch1_out,2.9693679768400383
case9,branch1_out,4.881238049907847
case9,branch1_out,3.0581095994919707
case9,branch1_out,0.9912251567578358
case9,branch1_out,3.1334690017939355
case9,branch1_out,2.894558478705344
case9,branch1_out,6.308818047008752
case9,branch1_out,8.049513773985248
case9,branch1_out,2.7668064912123995
case9,branch1_out,2.8415610431906857
case9,branch1_out,6.130236626216207
case9,branch1_out,5.521064073030125
case9,branch1_out,3.511024244129499
case9,branch1_out,2.03641999526711
case9,branch1_out,3.001442606864493
case9,branch1_out,1.2426255142620934
case9,branch1_out,2.379001910486887
case9,branch1_out,4.363958087468549
case9,branch1_out,2.5892950483733945
case9,branch1_out,8.370117509907715
case9,branch1_out,6.514013918677774
case9,branch1_out,3.682718012467237
case9,branch1_out,1.7610027889359303
case9,branch1_out,2.495431519867472
case9,branch2_out,3.024744922980378
case9,branch2_out,2.8615416478603546
case9,branch2_out,2.2343306558994875
case9,branch2_out,2.589526888301101
case9,branch2_out,3.232414240760765
case9,branch2_out,2.544773374790419
case9,branch2_out,4.984732676596255
case9,branch2_out,3.837717410669353
case9,branch2_out,2.190473899854396
case9,branch2_out,7.38261122470634
case9,branch2_out,1.344783943300044
case9,branch2_out,6.837373011517219
case9,branch2_out,4.647123820842643
case9,branch2_out,2.800868001634273
case9,branch2_out,3.816999865334848
case9,branch2_out,2.588477886847542
case9,branch2_out,6.549324564114556
case9,branch2_out,4.227798564416816
case9,branch2_out,2.846612693160016
case9,branch2_out,4.16090426533085
case9,branch2_out,1.6864098816171436
case9,branch2_out,7.903227847182807
case9,branch2_out,2.954648127850375
case9,branch2_out,2.864889886120968
case9,branch2_out,1.875598126135578
case9,branch2_out,2.2456580435116056
case9,branch2_out,1.570220705927323
case9,branch2_out,8.601844412448914
case9,branch2_out,4.3610237405425405
case9,branch2_out,2.2683552301324523
case9,branch2_out,1.924601295509336
case9,branch2_out,3.785470673552468
case9,branch2_out,4.1858947161703774
case9,branch2_out,7.190709068951564
case9,branch2_out,3.809987227345686
case9,branch2_out,0.8361479269653294
case9,branch2_out,7.218897730843689
case9,branch2_out,1.725770367705634
case9,branch2_out,4.074141992844941
case9,branch2_out,1.8525813709631207
case9,branch2_out,2.322739522421713
case9,branch2_out,1.8595357449858705
case9,branch2_out,1.730290779076433
case9,branch2_out,7.315268120015782
case9,branch2_out,1.1359633681775188
case9,branch2_out,2.400307228425354
case9,branch2_out,1.1271266664494342
case9,branch2_out,8.16588875528737
case9,branch2_out,3.1844097541260665
case9,branch2_out,7.075780748166962
case9,branch2_out,7.443160516446723
case9,branch2_out,4.9352740108476905
