seed,auc,tpr,fpr
1,0.99,0.983905,0.105772
2,0.92978,0.905189,0.112457
3,0.966169,0.915504,0.079482
4,0.959522,0.918335,0.105109
5,0.979414,0.938938,0.063276
6,0.945581,0.918493,0.062048
7,0.973251,0.987279,0.082802
8,0.973651,0.989809,0.098309
9,0.958069,0.958439,0.067316
10,0.967604,0.881478,0.085288
11,0.975484,0.918919,0.047971
12,0.962103,0.892914,0.067328
13,0.952522,0.943107,0.056007
14,0.975313,1.0,0.08484
15,0.955711,0.95309,0.093551
16,0.949165,0.876461,0.04844
17,0.961175,0.928279,0.074621
18,0.984921,0.947443,0.069188
19,0.959653,0.901301,0.068304
20,0.973148,0.926262,0.095304
