case,attack,kalman_residual
case9,baseline,0.022742
case9,impedance_perturb,0.023339
case9,load_shift,0.023256
case9,voltage_drift,0.026616
case9,resistance_shift,0.023107
case9,localized_load_attack,0.023585
case14,baseline,0.048584
case14,impedance_perturb,0.048589
case14,load_shift,0.047644
case14,voltage_drift,0.054542
case14,resistance_shift,0.048548
case14,localized_load_attack,0.048529
case30,baseline,0.018148
case30,impedance_perturb,0.018844
case30,load_shift,0.018347
case30,voltage_drift,0.014992
case30,resistance_shift,0.018387
case30,localized_load_attack,0.017996
case118,baseline,0.022924
case118,impedance_perturb,0.022816
case118,load_shift,0.022942
case118,voltage_drift,0.020688
case118,resistance_shift,0.023174
case118,localized_load_attack,0.022798
