case,attack,latency,delta_v
case9,baseline,0.431,0.02298
case9,impedance_perturb,0.312,0.022911
case9,load_shift,0.297,0.022839
case9,voltage_drift,0.283,0.027518
case9,resistance_shift,0.302,0.022969
case9,localized_load_attack,0.387,0.022614
case14,baseline,0.307,0.048474
case14,impedance_perturb,0.302,0.048335
case14,load_shift,0.387,0.048258
case14,voltage_drift,0.298,0.053929
case14,resistance_shift,0.299,0.048241
case14,localized_load_attack,0.365,0.048456
case30,baseline,0.339,0.018057
case30,impedance_perturb,0.309,0.0183
case30,load_shift,0.349,0.018277
case30,voltage_drift,0.342,0.014945
case30,resistance_shift,0.466,0.01827
case30,localized_load_attack,0.313,0.018057
case118,baseline,0.367,0.022935
case118,impedance_perturb,0.366,0.022985
case118,load_shift,0.338,0.022999
case118,voltage_drift,0.399,0.020569
case118,resistance_shift,0.325,0.022996
case118,localized_load_attack,0.362,0.022935
