time,residual,cusum,jitter,consensus
0,0.020745,0.000745,0.944694,0
1,0.021271,0.002016,1.609212,0
2,0.020245,0.002261,0.906345,0
3,0.023255,0.005516,1.306974,0
4,0.020464,0.00598,1.217024,0
5,0.020743,0.006723,0.813708,0
6,0.022057,0.00878,0.234688,0
7,0.019345,0.008126,0.775085,0
8,0.020633,0.008758,1.125699,0
9,0.020988,0.009746,0.435079,0
10,0.024723,0.014469,0.909689,0
11,0.022775,0.017244,0.430101,0
12,0.02198,0.019224,1.044369,0
13,0.021164,0.020388,1.150279,0
14,0.022055,0.022443,0.883323,0
15,0.02209,0.024533,1.740911,0
16,0.022978,0.027512,0.576916,0
17,0.024209,0.03172,0.511663,0
18,0.023235,0.034955,0.216132,0
19,0.020847,0.035802,1.078744,0
20,0.023836,0.039638,1.068547,0
21,0.022416,0.042054,0.879559,0
22,0.020208,0.042261,0.712062,0
23,0.021546,0.043808,1.422849,0
24,0.022542,0.046349,0.294784,0
25,0.022282,0.048631,0.845967,0
26,0.020531,0.049162,1.244671,0
27,0.022829,0.051991,1.372512,0
28,0.019746,0.051737,0.876315,0
29,0.021215,0.052951,1.390218,0
30,0.019705,0.052656,0.925736,0
31,0.018465,0.051121,0.521517,0
32,0.021044,0.052165,1.542496,0
33,0.019419,0.051584,1.401413,0
34,0.019776,0.05136,0.741952,0
35,0.01949,0.050849,1.615215,0
36,0.018619,0.049468,1.625857,0
37,0.014481,0.043949,1.328761,0
38,0.018295,0.042244,0.880397,0
39,0.018074,0.040318,0.204972,0
40,0.0174,0.037718,1.142845,0
41,0.019762,0.03748,0.792692,0
42,0.016173,0.033653,0.799297,0
43,0.018625,0.032277,1.1315,0
44,0.016351,0.028628,1.205307,0
45,0.017213,0.025841,1.387458,0
46,0.015966,0.021807,0.868935,0
47,0.016412,0.018219,0.414594,0
48,0.017456,0.015675,1.104422,0
49,0.01706,0.012735,0.906165,0
50,0.015,0.007735,0.831742,0
51,0.016708,0.004444,0.679089,0
52,0.017108,0.001551,1.16162,0
53,0.020332,0.001884,1.069831,0
54,0.018068,0.0,0.970222,0
55,0.015005,0.0,0.989394,0
56,0.026197,0.006197,4.485297,1
57,0.026059,0.012256,3.620619,1
58,0.026554,0.01881,3.032529,1
59,0.028593,0.027403,3.800773,1
60,0.028348,0.035751,3.136245,1
61,0.029558,0.045309,2.93926,1
62,0.028631,0.05394,4.376182,1
63,0.026565,0.060504,3.273481,1
64,0.028499,0.069003,3.29861,1
65,0.026319,0.075323,3.527425,1
66,0.027341,0.082664,3.689437,1
67,0.027835,0.090499,4.119974,1
68,0.028307,0.098807,3.371175,1
69,0.030956,0.109762,3.007654,1
70,0.030312,0.120075,4.022857,1
71,0.027776,0.12785,3.573854,1
72,0.030771,0.138621,3.812729,1
73,0.028696,0.147317,2.971817,1
74,0.031479,0.158796,3.618794,1
75,0.03119,0.169986,3.638579,1
76,0.029884,0.17987,3.592901,1
77,0.031404,0.191274,3.214259,1
78,0.033794,0.205068,3.689533,1
79,0.02921,0.214278,3.762621,1
80,0.029506,0.223784,3.814834,1
81,0.032648,0.236431,3.171727,1
82,0.032267,0.248699,3.665112,1
83,0.03194,0.260638,4.258717,1
84,0.030196,0.270834,3.198506,1
85,0.029061,0.279895,3.173676,1
86,0.030088,0.289983,3.636461,1
87,0.030404,0.300387,3.830873,1
88,0.029774,0.310161,4.081414,1
89,0.029106,0.319267,4.588068,1
90,0.030175,0.329442,3.157137,1
91,0.027351,0.336793,3.692989,1
92,0.028333,0.345126,3.7856,1
93,0.029083,0.354209,3.470868,1
94,0.026804,0.361014,2.894061,1
95,0.027105,0.368118,3.84256,1
96,0.027798,0.375917,3.001704,1
97,0.027444,0.383361,3.654127,1
98,0.025575,0.388936,3.56149,0
99,0.026715,0.395651,3.042812,1
