threshold,tpr,fpr,auc
0.1,0.923116,0.778801,0.932
0.1375,0.895834,0.709106,0.935
0.175,0.869358,0.645649,0.938
0.2125,0.843665,0.58787,0.941
0.25,0.818731,0.535261,0.944
0.2875,0.794534,0.487361,0.947
0.325,0.771052,0.443747,0.95
0.3625,0.748264,0.404037,0.953
0.4,0.726149,0.367879,0.956
0.4375,0.704688,0.334958,0.959
0.475,0.683861,0.304983,0.958
0.5125,0.66365,0.27769,0.955
0.55,0.644036,0.25284,0.952
0.5875,0.625002,0.230213,0.949
0.625,0.606531,0.209611,0.946
0.6625,0.588605,0.190853,0.943
0.7,0.571209,0.173774,0.94
0.7375,0.554327,0.158223,0.937
0.775,0.537944,0.144064,0.934
0.8125,0.522046,0.131171,0.931
0.85,0.506617,0.119433,0.928
0.8875,0.491644,0.108745,0.925
0.925,0.477114,0.099013,0.922
0.9625,0.463013,0.090153,0.919
1.0,0.449329,0.082085,0.916
