Method,TN,FP,FN,TP,Accuracy,Precision,Precision_CI,Recall,Recall_CI,F1,F1_CI,FPR,FPR_CI,Specificity,Balanced_Accuracy,MCC,MCC_CI,ROC_AUC,PR_AUC
1. NIS Standalone,106,134,110,850,0.7966666666666666,0.8638211382113821,"[0.8403, 0.8846]",0.8854166666666666,"[0.8642, 0.9035]",0.8744855967078189,"[0.8571, 0.8893]",0.5583333333333333,"[0.4951, 0.6250]",0.44166666666666665,0.6635416666666667,0.34054556411821046,"[0.2694, 0.4082]",0.8203472222222221,0.9445634839983725
2. CUSUM Standalone,186,54,4,956,0.9516666666666667,0.9465346534653465,"[0.9329, 0.9595]",0.9958333333333333,"[0.9916, 1.0000]",0.9705583756345177,"[0.9632, 0.9775]",0.225,"[0.1737, 0.2751]",0.775,0.8854166666666667,0.8446255927159477,"[0.8091, 0.8808]",0.995078125,0.9988501934128252
3. Jitter Standalone,240,0,956,4,0.20333333333333334,1.0,"[1.0000, 1.0000]",0.004166666666666667,"[0.0010, 0.0084]",0.008298755186721992,"[0.0020, 0.0168]",0.0,"[0.0000, 0.0000]",1.0,0.5020833333333333,0.02891574659831201,"[0.0133, 0.0419]",0.626501736111111,0.8804660807705635
4. NIS + CUSUM (OR),84,156,2,958,0.8683333333333333,0.8599640933572711,"[0.8388, 0.8804]",0.9979166666666667,"[0.9947, 1.0000]",0.9238187078109933,"[0.9112, 0.9358]",0.65,"[0.5918, 0.7110]",0.35,0.6739583333333333,0.5395412454507682,"[0.4864, 0.5918]",0.0,0.0
5. NIS + Jitter (OR),106,134,108,852,0.7983333333333333,0.8640973630831643,"[0.8406, 0.8849]",0.8875,"[0.8657, 0.9050]",0.8756423432682425,"[0.8583, 0.8905]",0.5583333333333333,"[0.4951, 0.6250]",0.44166666666666665,0.6645833333333333,0.34396301160799075,"[0.2735, 0.4112]",0.0,0.0
6. CUSUM + Jitter (OR),186,54,4,956,0.9516666666666667,0.9465346534653465,"[0.9329, 0.9595]",0.9958333333333333,"[0.9916, 1.0000]",0.9705583756345177,"[0.9632, 0.9775]",0.225,"[0.1737, 0.2751]",0.775,0.8854166666666667,0.8446255927159477,"[0.8091, 0.8808]",0.0,0.0
7. Simple 3-Detector Majority Vote,208,32,110,850,0.8816666666666667,0.963718820861678,"[0.9506, 0.9751]",0.8854166666666666,"[0.8644, 0.9037]",0.9229098805646037,"[0.9091, 0.9342]",0.13333333333333333,"[0.0913, 0.1790]",0.8666666666666667,0.8760416666666666,0.6816467201053572,"[0.6299, 0.7269]",0.0,0.0
8. Sequential-Only Detector,238,2,140,820,0.8816666666666667,0.9975669099756691,"[0.9938, 1.0000]",0.8541666666666666,"[0.8330, 0.8766]",0.920314253647587,"[0.9081, 0.9334]",0.008333333333333333,"[0.0000, 0.0215]",0.9916666666666667,0.9229166666666666,0.7283568766404844,"[0.6922, 0.7656]",0.9197222222222223,0.9820852673508218
9. XMON-Grid K=2 (Strict Majority),208,32,110,850,0.8816666666666667,0.963718820861678,"[0.9506, 0.9751]",0.8854166666666666,"[0.8644, 0.9037]",0.9229098805646037,"[0.9091, 0.9342]",0.13333333333333333,"[0.0913, 0.1790]",0.8666666666666667,0.8760416666666666,0.6816467201053572,"[0.6299, 0.7269]",0.9574739583333333,0.9837871731102182
10. XMON-Grid K=1 (Sensitivity Mode),84,156,2,958,0.8683333333333333,0.8599640933572711,"[0.8388, 0.8804]",0.9979166666666667,"[0.9947, 1.0000]",0.9238187078109933,"[0.9112, 0.9358]",0.65,"[0.5918, 0.7110]",0.35,0.6739583333333333,0.5395412454507682,"[0.4864, 0.5918]",0.9574739583333333,0.9837871731102182
