sample_id,case,scenario,severity_tier,attack_magnitude,snr_estimate,sample_idx,split,y_true,nis,nis_threshold,a_nis,cusum_g,cusum_threshold,a_cusum,jitter_z,jitter_bar,a_jitter,s_comp,theta_seq,theta_threshold,a_seq,votes,d_k2,d_k1,S_cond
case9_baseline_000,case9,baseline,Tier 0 (Benign),0.0,0.0,0,test,0,29.2346,46.9629,0,0.0,5.0,0,0.1303,0.1303,0,0.16214,0.16214,4.30567,0,0,0,0,3048.11
case9_baseline_001,case9,baseline,Tier 0 (Benign),0.0,0.0,1,test,0,34.6489,46.9629,0,0.0,5.0,0,0.2836,0.2069,0,0.194795,0.340721,4.30567,0,0,0,0,3044.81
case9_baseline_002,case9,baseline,Tier 0 (Benign),0.0,0.0,2,test,0,54.4898,46.9629,1,0.7847,5.0,0,0.9611,0.4583,0,0.336524,0.643173,4.30567,0,1,0,1,3035.33
case9_baseline_003,case9,baseline,Tier 0 (Benign),0.0,0.0,3,test,0,50.0867,46.9629,1,1.1691,5.0,0,0.4623,0.4593,0,0.324668,0.903524,4.30567,0,1,0,1,3070.24
case9_baseline_004,case9,baseline,Tier 0 (Benign),0.0,0.0,4,test,0,77.1537,46.9629,1,4.0138,5.0,0,0.4452,0.4565,0,0.553956,1.367127,4.30567,0,1,0,1,3061.03
case9_baseline_005,case9,baseline,Tier 0 (Benign),0.0,0.0,5,test,0,66.1886,46.9629,1,5.8619,5.0,1,1.775,0.6762,0,0.562014,1.792429,4.30567,0,2,1,1,3048.44
case9_baseline_006,case9,baseline,Tier 0 (Benign),0.0,0.0,6,test,0,52.4611,46.9629,1,6.4622,5.0,1,0.252,0.6156,0,0.503915,2.117101,4.30567,0,2,1,1,3049.28
case9_baseline_007,case9,baseline,Tier 0 (Benign),0.0,0.0,7,test,0,23.3967,46.9629,0,4.4206,5.0,0,0.8497,0.6449,0,0.28941,2.194801,4.30567,0,0,0,0,3046.49
case9_baseline_008,case9,baseline,Tier 0 (Benign),0.0,0.0,8,test,0,35.0288,46.9629,0,3.4363,5.0,0,1.7178,0.7641,0,0.327764,2.303085,4.30567,0,0,0,0,3054.0
case9_baseline_009,case9,baseline,Tier 0 (Benign),0.0,0.0,9,test,0,40.8527,46.9629,0,2.9814,5.0,0,0.4376,0.7314,0,0.343487,2.416264,4.30567,0,0,0,0,3062.64
case9_baseline_010,case9,baseline,Tier 0 (Benign),0.0,0.0,10,test,0,31.0836,46.9629,0,1.6385,5.0,0,0.8345,0.7408,0,0.251665,2.426303,4.30567,0,0,0,0,3048.11
case9_baseline_011,case9,baseline,Tier 0 (Benign),0.0,0.0,11,test,0,57.1804,46.9629,1,2.6678,5.0,0,0.8213,0.7475,0,0.4218,2.605473,4.30567,0,1,0,1,3057.02
case9_baseline_012,case9,baseline,Tier 0 (Benign),0.0,0.0,12,test,0,19.9905,46.9629,0,0.3165,5.0,0,0.2653,0.7104,0,0.151434,2.49636,4.30567,0,0,0,0,3038.46
case9_baseline_013,case9,baseline,Tier 0 (Benign),0.0,0.0,13,test,0,28.8929,46.9629,0,0.0,5.0,0,0.5324,0.6977,0,0.188693,2.435416,4.30567,0,0,0,0,3058.96
case9_baseline_014,case9,baseline,Tier 0 (Benign),0.0,0.0,14,test,0,38.7804,46.9629,0,0.0,5.0,0,0.5187,0.6858,0,0.240731,2.432605,4.30567,0,0,0,0,3070.43
case9_baseline_015,case9,baseline,Tier 0 (Benign),0.0,0.0,15,test,0,47.7384,46.9629,1,0.171,5.0,0,1.1096,0.7123,0,0.294871,2.484216,4.30567,0,1,0,1,3069.7
