fpr,tpr,threshold
0.0,0.0,inf
0.0,0.001042,0.938093
0.0,0.103125,0.864196
0.0,0.105208,0.862955
0.0,0.236458,0.848481
0.0,0.238542,0.848463
0.0,0.311458,0.845008
0.0,0.313542,0.845004
0.0,0.326042,0.844217
0.0,0.328125,0.844186
0.0,0.385417,0.841695
0.0,0.3875,0.841681
0.0,0.4375,0.839941
0.0,0.439583,0.839832
0.0,0.494792,0.838501
0.0,0.496875,0.838468
0.0,0.55,0.837174
0.0,0.552083,0.837133
0.0,0.553125,0.83712
0.0,0.555208,0.837118
0.0,0.620833,0.835849
0.0,0.622917,0.835837
0.0,0.632292,0.835577
0.0,0.634375,0.835562
0.0,0.661458,0.834954
0.0,0.663542,0.834951
0.0,0.883333,0.570641
0.004167,0.883333,0.562014
0.004167,0.884375,0.561925
0.008333,0.884375,0.561058
0.008333,0.888542,0.554457
0.0125,0.888542,0.553956
0.0125,0.89375,0.520744
0.016667,0.89375,0.517621
0.016667,0.902083,0.506729
0.020833,0.902083,0.503915
0.020833,0.917708,0.487482
0.025,0.917708,0.485284
0.025,0.932292,0.47518
0.029167,0.932292,0.475083
0.029167,0.938542,0.468163
0.033333,0.938542,0.467187
0.033333,0.941667,0.466534
0.0375,0.941667,0.46645
0.0375,0.942708,0.465826
0.041667,0.942708,0.465178
0.041667,0.955208,0.456675
0.045833,0.955208,0.456627
0.045833,0.959375,0.453133
0.05,0.959375,0.452931
0.05,0.960417,0.449116
0.054167,0.960417,0.448062
0.054167,0.965625,0.445717
0.058333,0.965625,0.442437
0.058333,0.96875,0.440128
0.0625,0.96875,0.437862
0.0625,0.969792,0.436656
0.066667,0.969792,0.436316
0.066667,0.972917,0.435828
0.083333,0.972917,0.431898
0.083333,0.975,0.430621
0.0875,0.975,0.428588
0.0875,0.976042,0.427821
0.1125,0.976042,0.422325
0.1125,0.978125,0.42197
0.125,0.978125,0.420282
0.125,0.979167,0.420245
0.133333,0.979167,0.418588
0.133333,0.980208,0.418262
0.1375,0.980208,0.416671
0.1375,0.98125,0.415097
0.141667,0.98125,0.413528
0.141667,0.982292,0.411717
0.145833,0.982292,0.411672
0.145833,0.984375,0.409254
0.166667,0.984375,0.403989
0.166667,0.985417,0.403675
0.175,0.985417,0.400501
0.175,0.986458,0.399977
0.183333,0.986458,0.39752
0.183333,0.9875,0.396982
0.191667,0.9875,0.395431
0.191667,0.988542,0.395385
0.195833,0.988542,0.395167
0.195833,0.989583,0.394919
0.2,0.989583,0.3937
0.2,0.990625,0.393399
0.204167,0.990625,0.393196
0.204167,0.991667,0.392086
0.216667,0.991667,0.389528
0.216667,0.992708,0.388897
0.220833,0.992708,0.388294
0.220833,0.99375,0.388263
0.225,0.99375,0.387613
0.225,0.994792,0.387261
0.229167,0.994792,0.386828
0.229167,0.996875,0.383548
0.233333,0.996875,0.38324
0.233333,0.997917,0.382823
0.2375,0.997917,0.382585
0.2375,0.998958,0.382584
0.404167,0.998958,0.352245
0.404167,1.0,0.351532
1.0,1.0,0.135998
