sample_id,case,scenario,y_true,s_comp,theta_seq,a_seq
case9_baseline_000,case9,baseline,0,0.16214,0.16214,0
case9_baseline_001,case9,baseline,0,0.194795,0.340721,0
case9_baseline_002,case9,baseline,0,0.336524,0.643173,0
case9_baseline_003,case9,baseline,0,0.324668,0.903524,0
case9_baseline_004,case9,baseline,0,0.553956,1.367127,0
case9_baseline_005,case9,baseline,0,0.562014,1.792429,0
case9_baseline_006,case9,baseline,0,0.503915,2.117101,0
case9_baseline_007,case9,baseline,0,0.28941,2.194801,0
case9_baseline_008,case9,baseline,0,0.327764,2.303085,0
case9_baseline_009,case9,baseline,0,0.343487,2.416264,0
case9_baseline_010,case9,baseline,0,0.251665,2.426303,0
case9_baseline_011,case9,baseline,0,0.4218,2.605473,0
case9_baseline_012,case9,baseline,0,0.151434,2.49636,0
case9_baseline_013,case9,baseline,0,0.188693,2.435416,0
case9_baseline_014,case9,baseline,0,0.240731,2.432605,0
case9_baseline_015,case9,baseline,0,0.294871,2.484216,0
case9_baseline_016,case9,baseline,0,0.561058,2.796852,0
case9_baseline_017,case9,baseline,0,0.335243,2.85241,0
case9_baseline_018,case9,baseline,0,0.36078,2.927949,0
case9_baseline_019,case9,baseline,0,0.517621,3.152775,0
case9_baseline_020,case9,baseline,0,0.403989,3.241486,0
case9_baseline_021,case9,baseline,0,0.467187,3.384524,0
case9_baseline_022,case9,baseline,0,0.436316,3.482388,0
case9_baseline_023,case9,baseline,0,0.354217,3.488366,0
case9_baseline_024,case9,baseline,0,0.266102,3.405631,0
case9_baseline_025,case9,baseline,0,0.347516,3.412584,0
case9_baseline_026,case9,baseline,0,0.202544,3.27387,0
case9_baseline_027,case9,baseline,0,0.205209,3.151691,0
case9_baseline_028,case9,baseline,0,0.209455,3.045977,0
case9_baseline_029,case9,baseline,0,0.241315,2.982694,0
case9_baseline_030,case9,baseline,0,0.27031,2.954735,0
case9_baseline_031,case9,baseline,0,0.234988,2.89425,0
case9_baseline_032,case9,baseline,0,0.242538,2.847363,0
case9_baseline_033,case9,baseline,0,0.228275,2.790902,0
case9_baseline_034,case9,baseline,0,0.257165,2.768977,0
case9_baseline_035,case9,baseline,0,0.280722,2.772801,0
case9_baseline_036,case9,baseline,0,0.246836,2.742357,0
case9_baseline_037,case9,baseline,0,0.335312,2.803434,0
case9_baseline_038,case9,baseline,0,0.164584,2.687675,0
case9_baseline_039,case9,baseline,0,0.310379,2.729286,0
case9_baseline_040,case9,baseline,0,0.182442,2.638799,0
case9_baseline_041,case9,baseline,0,0.203608,2.578528,0
case9_baseline_042,case9,baseline,0,0.237296,2.557971,0
case9_baseline_043,case9,baseline,0,0.135998,2.438171,0
case9_baseline_044,case9,baseline,0,0.265295,2.459649,0
case9_baseline_045,case9,baseline,0,0.237699,2.451383,0
case9_baseline_046,case9,baseline,0,0.184797,2.391041,0
case9_baseline_047,case9,baseline,0,0.227514,2.379451,0
case9_baseline_048,case9,baseline,0,0.205758,2.347263,0
case9_baseline_049,case9,baseline,0,0.188964,2.301502,0
case9_baseline_050,case9,baseline,0,0.202076,2.273427,0
case9_baseline_051,case9,baseline,0,0.171409,2.217494,0
case9_baseline_052,case9,baseline,0,0.289683,2.285427,0
case9_baseline_053,case9,baseline,0,0.327557,2.384442,0
case9_baseline_054,case9,baseline,0,0.259837,2.405835,0
case9_baseline_055,case9,baseline,0,0.286073,2.451325,0
case9_baseline_056,case9,baseline,0,0.199705,2.405897,0
case9_baseline_057,case9,baseline,0,0.236043,2.401351,0
case9_baseline_058,case9,baseline,0,0.425284,2.586499,0
case9_baseline_059,case9,baseline,0,0.319967,2.647816,0
case9_branch_outage_000,case9,branch_outage,1,0.838501,3.221536,0
case9_branch_outage_001,case9,branch_outage,1,0.836902,3.736285,0
case9_branch_outage_002,case9,branch_outage,1,0.835705,4.198361,0
case9_branch_outage_003,case9,branch_outage,1,0.83535,4.613875,1
case9_branch_outage_004,case9,branch_outage,1,0.835897,4.988384,1
case9_branch_outage_005,case9,branch_outage,1,0.837508,5.327054,1
case9_branch_outage_006,case9,branch_outage,1,0.835506,5.629855,1
case9_branch_outage_007,case9,branch_outage,1,0.835217,5.902086,1
case9_branch_outage_008,case9,branch_outage,1,0.836496,6.148374,1
case9_branch_outage_009,case9,branch_outage,1,0.836209,6.369745,1
case9_branch_outage_010,case9,branch_outage,1,0.836254,6.569025,1
case9_branch_outage_011,case9,branch_outage,1,0.832653,6.744776,1
case9_branch_outage_012,case9,branch_outage,1,0.829831,6.900129,1
case9_branch_outage_013,case9,branch_outage,1,0.830922,7.041038,1
case9_branch_outage_014,case9,branch_outage,1,0.832177,7.169112,1
case9_branch_outage_015,case9,branch_outage,1,0.83296,7.285161,1
case9_branch_outage_016,case9,branch_outage,1,0.834364,7.391009,1
case9_branch_outage_017,case9,branch_outage,1,0.834682,7.486591,1
case9_branch_outage_018,case9,branch_outage,1,0.831829,7.56976,1
case9_branch_outage_019,case9,branch_outage,1,0.829872,7.642656,1
case9_branch_outage_020,case9,branch_outage,1,0.828725,7.707115,1
case9_branch_outage_021,case9,branch_outage,1,0.82841,7.764813,1
case9_branch_outage_022,case9,branch_outage,1,0.827409,7.815741,1
case9_branch_outage_023,case9,branch_outage,1,0.827058,7.861225,1
case9_branch_outage_024,case9,branch_outage,1,0.826811,7.901913,1
case9_branch_outage_025,case9,branch_outage,1,0.827987,7.939709,1
case9_branch_outage_026,case9,branch_outage,1,0.828465,7.974204,1
case9_branch_outage_027,case9,branch_outage,1,0.831287,8.008071,1
case9_branch_outage_028,case9,branch_outage,1,0.83287,8.040134,1
case9_branch_outage_029,case9,branch_outage,1,0.830423,8.066543,1
case9_branch_outage_030,case9,branch_outage,1,0.831127,8.091016,1
case9_branch_outage_031,case9,branch_outage,1,0.832162,8.114076,1
case9_branch_outage_032,case9,branch_outage,1,0.834485,8.137154,1
case9_branch_outage_033,case9,branch_outage,1,0.837183,8.160622,1
case9_branch_outage_034,case9,branch_outage,1,0.833496,8.178055,1
case9_branch_outage_035,case9,branch_outage,1,0.832416,8.192665,1
case9_branch_outage_036,case9,branch_outage,1,0.831923,8.205322,1
case9_branch_outage_037,case9,branch_outage,1,0.83349,8.21828,1
case9_branch_outage_038,case9,branch_outage,1,0.835849,8.2323,1
case9_branch_outage_039,case9,branch_outage,1,0.835431,8.244502,1
case9_branch_outage_040,case9,branch_outage,1,0.837484,8.257536,1
case9_branch_outage_041,case9,branch_outage,1,0.837321,8.269103,1
case9_branch_outage_042,case9,branch_outage,1,0.837235,8.279428,1
case9_branch_outage_043,case9,branch_outage,1,0.839397,8.290882,1
case9_branch_outage_044,case9,branch_outage,1,0.838185,8.299978,1
case9_branch_outage_045,case9,branch_outage,1,0.835926,8.305906,1
case9_branch_outage_046,case9,branch_outage,1,0.835041,8.310356,1
case9_branch_outage_047,case9,branch_outage,1,0.834303,8.313624,1
case9_branch_outage_048,case9,branch_outage,1,0.832712,8.314973,1
case9_branch_outage_049,case9,branch_outage,1,0.837308,8.320784,1
case9_branch_outage_050,case9,branch_outage,1,0.83691,8.325616,1
case9_branch_outage_051,case9,branch_outage,1,0.837696,8.33075,1
case9_branch_outage_052,case9,branch_outage,1,0.836449,8.334124,1
case9_branch_outage_053,case9,branch_outage,1,0.834688,8.3354,1
case9_branch_outage_054,case9,branch_outage,1,0.835562,8.337422,1
case9_branch_outage_055,case9,branch_outage,1,0.836714,8.340394,1
case9_branch_outage_056,case9,branch_outage,1,0.836206,8.342561,1
case9_branch_outage_057,case9,branch_outage,1,0.833354,8.341659,1
case9_branch_outage_058,case9,branch_outage,1,0.832832,8.340325,1
case9_branch_outage_059,case9,branch_outage,1,0.833641,8.339934,1
case9_fdia_000,case9,fdia,1,0.831917,8.337858,1
case9_fdia_001,case9,fdia,1,0.831877,8.335949,1
case9_fdia_002,case9,fdia,1,0.831836,8.33419,1
case9_fdia_003,case9,fdia,1,0.830601,8.331372,1
case9_fdia_004,case9,fdia,1,0.831889,8.330124,1
case9_fdia_005,case9,fdia,1,0.832331,8.329443,1
case9_fdia_006,case9,fdia,1,0.831536,8.328034,1
case9_fdia_007,case9,fdia,1,0.832409,8.32764,1
case9_fdia_008,case9,fdia,1,0.833481,8.328357,1
case9_fdia_009,case9,fdia,1,0.833691,8.329212,1
case9_fdia_010,case9,fdia,1,0.834986,8.331276,1
case9_fdia_011,case9,fdia,1,0.833227,8.331376,1
case9_fdia_012,case9,fdia,1,0.833864,8.332102,1
case9_fdia_013,case9,fdia,1,0.832789,8.331682,1
case9_fdia_014,case9,fdia,1,0.83234,8.330853,1
case9_fdia_015,case9,fdia,1,0.831249,8.329016,1
case9_fdia_016,case9,fdia,1,0.83122,8.327335,1
case9_fdia_017,case9,fdia,1,0.83205,8.326652,1
case9_fdia_018,case9,fdia,1,0.83017,8.324156,1
case9_fdia_019,case9,fdia,1,0.830708,8.322449,1
case9_fdia_020,case9,fdia,1,0.832064,8.322268,1
case9_fdia_021,case9,fdia,1,0.83309,8.323132,1
case9_fdia_022,case9,fdia,1,0.83358,8.324399,1
case9_fdia_023,case9,fdia,1,0.83389,8.325849,1
case9_fdia_024,case9,fdia,1,0.834313,8.327577,1
case9_fdia_025,case9,fdia,1,0.834765,8.329584,1
case9_fdia_026,case9,fdia,1,0.837483,8.334109,1
case9_fdia_027,case9,fdia,1,0.834039,8.334736,1
case9_fdia_028,case9,fdia,1,0.835325,8.336587,1
case9_fdia_029,case9,fdia,1,0.832864,8.335792,1
case9_fdia_030,case9,fdia,1,0.833262,8.335475,1
case9_fdia_031,case9,fdia,1,0.833977,8.335905,1
case9_fdia_032,case9,fdia,1,0.834451,8.336766,1
case9_fdia_033,case9,fdia,1,0.834551,8.337641,1
case9_fdia_034,case9,fdia,1,0.837726,8.341603,1
case9_fdia_035,case9,fdia,1,0.838375,8.345818,1
case9_fdia_036,case9,fdia,1,0.839337,8.350573,1
case9_fdia_037,case9,fdia,1,0.838721,8.354237,1
case9_fdia_038,case9,fdia,1,0.839941,8.358755,1
case9_fdia_039,case9,fdia,1,0.838962,8.361841,1
case9_fdia_040,case9,fdia,1,0.840208,8.365865,1
case9_fdia_041,case9,fdia,1,0.840442,8.36972,1
case9_fdia_042,case9,fdia,1,0.841097,8.373846,1
case9_fdia_043,case9,fdia,1,0.841695,8.378156,1
case9_fdia_044,case9,fdia,1,0.839824,8.380164,1
case9_fdia_045,case9,fdia,1,0.83824,8.380388,1
case9_fdia_046,case9,fdia,1,0.835959,8.378308,1
case9_fdia_047,case9,fdia,1,0.836783,8.37726,1
case9_fdia_048,case9,fdia,1,0.838468,8.378002,1
case9_fdia_049,case9,fdia,1,0.836463,8.376665,1
case9_fdia_050,case9,fdia,1,0.835175,8.374174,1
case9_fdia_051,case9,fdia,1,0.835837,8.372593,1
case9_fdia_052,case9,fdia,1,0.83573,8.371064,1
case9_fdia_053,case9,fdia,1,0.834898,8.368855,1
case9_fdia_054,case9,fdia,1,0.831488,8.363457,1
case9_fdia_055,case9,fdia,1,0.834668,8.36178,1
case9_fdia_056,case9,fdia,1,0.833536,8.359138,1
case9_fdia_057,case9,fdia,1,0.83698,8.360204,1
case9_fdia_058,case9,fdia,1,0.835739,8.359923,1
case9_fdia_059,case9,fdia,1,0.836226,8.360157,1
case9_load_shift_000,case9,load_shift,1,0.83739,8.361531,1
case9_load_shift_001,case9,load_shift,1,0.837049,8.362427,1
case9_load_shift_002,case9,load_shift,1,0.834774,8.360958,1
case9_load_shift_003,case9,load_shift,1,0.834322,8.359185,1
case9_load_shift_004,case9,load_shift,1,0.838564,8.36183,1
case9_load_shift_005,case9,load_shift,1,0.492032,8.017679,1
case9_load_shift_006,case9,load_shift,1,0.838947,8.054858,1
case9_load_shift_007,case9,load_shift,1,0.837664,8.087036,1
case9_load_shift_008,case9,load_shift,1,0.832382,8.110715,1
case9_load_shift_009,case9,load_shift,1,0.396982,7.696625,1
case9_load_shift_010,case9,load_shift,1,0.836003,7.762965,1
case9_load_shift_011,case9,load_shift,1,0.835966,7.822635,1
case9_load_shift_012,case9,load_shift,1,0.83478,7.875152,1
case9_load_shift_013,case9,load_shift,1,0.520744,7.60838,1
case9_load_shift_014,case9,load_shift,1,0.837107,7.68465,1
case9_load_shift_015,case9,load_shift,1,0.832594,7.748778,1
case9_load_shift_016,case9,load_shift,1,0.836628,7.810529,1
case9_load_shift_017,case9,load_shift,1,0.388263,7.417739,1
case9_load_shift_018,case9,load_shift,1,0.83509,7.511055,1
case9_load_shift_019,case9,load_shift,1,0.834524,7.594474,1
case9_load_shift_020,case9,load_shift,1,0.833154,7.66818,1
case9_load_shift_021,case9,load_shift,1,0.387261,7.288623,1
case9_load_shift_022,case9,load_shift,1,0.836296,7.396057,1
case9_load_shift_023,case9,load_shift,1,0.836002,7.492453,1
case9_load_shift_024,case9,load_shift,1,0.833055,7.576263,1
case9_load_shift_025,case9,load_shift,1,0.435828,7.254465,1
case9_load_shift_026,case9,load_shift,1,0.836779,7.365797,1
case9_load_shift_027,case9,load_shift,1,0.838935,7.468153,1
case9_load_shift_028,case9,load_shift,1,0.838468,7.559805,1
case9_load_shift_029,case9,load_shift,1,0.388897,7.192722,1
case9_load_shift_030,case9,load_shift,1,0.834815,7.308264,1
case9_load_shift_031,case9,load_shift,1,0.835216,7.412654,1
case9_load_shift_032,case9,load_shift,1,0.834534,7.505923,1
case9_load_shift_033,case9,load_shift,1,0.383548,7.138878,1
case9_load_shift_034,case9,load_shift,1,0.833902,7.258892,1
case9_load_shift_035,case9,load_shift,1,0.834185,7.367188,1
case9_load_shift_036,case9,load_shift,1,0.830572,7.461041,1
case9_load_shift_037,case9,load_shift,1,0.382584,7.09752,1
case9_load_shift_038,case9,load_shift,1,0.829909,7.217677,1
case9_load_shift_039,case9,load_shift,1,0.831473,7.327383,1
case9_load_shift_040,case9,load_shift,1,0.831052,7.425697,1
case9_load_shift_041,case9,load_shift,1,0.466892,7.150019,1
case9_load_shift_042,case9,load_shift,1,0.827233,7.26225,1
case9_load_shift_043,case9,load_shift,1,0.827404,7.363429,1
case9_load_shift_044,case9,load_shift,1,0.828058,7.455144,1
case9_load_shift_045,case9,load_shift,1,0.474786,7.184415,1
case9_load_shift_046,case9,load_shift,1,0.828121,7.294095,1
case9_load_shift_047,case9,load_shift,1,0.829098,7.393784,1
case9_load_shift_048,case9,load_shift,1,0.829374,7.483779,1
case9_load_shift_049,case9,load_shift,1,0.455295,7.190696,1
case9_load_shift_050,case9,load_shift,1,0.82917,7.300797,1
case9_load_shift_051,case9,load_shift,1,0.827333,7.39805,1
case9_load_shift_052,case9,load_shift,1,0.82714,7.485385,1
case9_load_shift_053,case9,load_shift,1,0.382823,7.11967,1
case9_load_shift_054,case9,load_shift,1,0.807129,7.214832,1
case9_load_shift_055,case9,load_shift,1,0.829369,7.322717,1
case9_load_shift_056,case9,load_shift,1,0.82966,7.420105,1
case9_load_shift_057,case9,load_shift,1,0.477293,7.155388,1
case9_load_shift_058,case9,load_shift,1,0.832314,7.272163,1
case9_load_shift_059,case9,load_shift,1,0.830761,7.375707,1
case9_stealth_drift_000,case9,stealth_drift,1,0.839639,7.477775,1
case9_stealth_drift_001,case9,stealth_drift,1,0.839464,7.569462,1
case9_stealth_drift_002,case9,stealth_drift,1,0.848481,7.660997,1
case9_stealth_drift_003,case9,stealth_drift,1,0.846936,7.741833,1
case9_stealth_drift_004,case9,stealth_drift,1,0.844858,7.812508,1
case9_stealth_drift_005,case9,stealth_drift,1,0.449116,7.480373,1
case9_stealth_drift_006,case9,stealth_drift,1,0.728785,7.46112,1
case9_stealth_drift_007,case9,stealth_drift,1,0.839821,7.554829,1
case9_stealth_drift_008,case9,stealth_drift,1,0.845756,7.645102,1
