method,scenario,samples,TN,FP,FN,TP,Accuracy,Precision,Recall,F1,FPR,Specificity,Balanced_Accuracy
XMON-Grid K=2,baseline,240,238,2,0,0,0.9917,0.0,0.0,0.0,0.0083,0.9917,0.4958
XMON-Grid K=1,baseline,240,107,133,0,0,0.4458,0.0,0.0,0.0,0.5542,0.4458,0.2229
NIS Standalone,baseline,240,108,132,0,0,0.45,0.0,0.0,0.0,0.55,0.45,0.225
CUSUM Standalone,baseline,240,237,3,0,0,0.9875,0.0,0.0,0.0,0.0125,0.9875,0.4938
Jitter Standalone,baseline,240,240,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.5
XMON-Grid K=2,branch_outage,240,0,0,3,237,0.9875,1.0,0.9875,0.9937,0.0,0.0,0.4938
XMON-Grid K=1,branch_outage,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
NIS Standalone,branch_outage,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
CUSUM Standalone,branch_outage,240,0,0,3,237,0.9875,1.0,0.9875,0.9937,0.0,0.0,0.4938
Jitter Standalone,branch_outage,240,0,0,240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMON-Grid K=2,fdia,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
XMON-Grid K=1,fdia,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
NIS Standalone,fdia,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
CUSUM Standalone,fdia,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Jitter Standalone,fdia,240,0,0,240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMON-Grid K=2,load_shift,240,0,0,53,187,0.7792,1.0,0.7792,0.8759,0.0,0.0,0.3896
XMON-Grid K=1,load_shift,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
NIS Standalone,load_shift,240,0,0,53,187,0.7792,1.0,0.7792,0.8759,0.0,0.0,0.3896
CUSUM Standalone,load_shift,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Jitter Standalone,load_shift,240,0,0,240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMON-Grid K=2,stealth_drift,240,0,0,61,179,0.7458,1.0,0.7458,0.8544,0.0,0.0,0.3729
XMON-Grid K=1,stealth_drift,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
NIS Standalone,stealth_drift,240,0,0,65,175,0.7292,1.0,0.7292,0.8434,0.0,0.0,0.3646
CUSUM Standalone,stealth_drift,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Jitter Standalone,stealth_drift,240,0,0,227,13,0.0542,1.0,0.0542,0.1028,0.0,0.0,0.0271
