method,case,TN,FP,FN,TP,Accuracy,Precision,Recall,F1,FPR,Specificity,Balanced_Accuracy,roc_auc,pr_auc
XMON-Grid K=2,case9,58,2,31,209,0.89,0.9905,0.8708,0.9268,0.0333,0.9667,0.9188,0.9863,0.9965
XMON-Grid K=1,case9,45,15,0,240,0.95,0.9412,1.0,0.9697,0.25,0.75,0.875,0.9863,0.9965
NIS Standalone,case9,46,14,31,209,0.85,0.9372,0.8708,0.9028,0.2333,0.7667,0.8188,0.8803,0.9744
CUSUM Standalone,case9,57,3,0,240,0.99,0.9877,1.0,0.9938,0.05,0.95,0.975,1.0,1.0
Jitter Standalone,case9,60,0,240,0,0.2,0.0,0.0,0.0,0.0,1.0,0.5,0.491,0.8438
XMON-Grid K=2,case14,60,0,30,210,0.9,1.0,0.875,0.9333,0.0,1.0,0.9375,0.9958,0.999
XMON-Grid K=1,case14,43,17,0,240,0.9433,0.9339,1.0,0.9658,0.2833,0.7167,0.8583,0.9958,0.999
NIS Standalone,case14,43,17,31,209,0.84,0.9248,0.8708,0.897,0.2833,0.7167,0.7938,0.8768,0.9738
CUSUM Standalone,case14,60,0,1,239,0.9967,1.0,0.9958,0.9979,0.0,1.0,0.9979,0.9985,0.9997
Jitter Standalone,case14,60,0,236,4,0.2133,1.0,0.0167,0.0328,0.0,1.0,0.5083,0.538,0.8294
XMON-Grid K=2,case30,60,0,31,209,0.8967,1.0,0.8708,0.931,0.0,1.0,0.9354,0.9985,0.9996
XMON-Grid K=1,case30,19,41,0,240,0.8633,0.8541,1.0,0.9213,0.6833,0.3167,0.6583,0.9985,0.9996
NIS Standalone,case30,19,41,30,210,0.7633,0.8367,0.875,0.8554,0.6833,0.3167,0.5958,0.873,0.9731
CUSUM Standalone,case30,60,0,1,239,0.9967,1.0,0.9958,0.9979,0.0,1.0,0.9979,0.9992,0.9998
Jitter Standalone,case30,60,0,237,3,0.21,1.0,0.0125,0.0247,0.0,1.0,0.5062,0.7453,0.9265
XMON-Grid K=2,case118,60,0,25,215,0.9167,1.0,0.8958,0.9451,0.0,1.0,0.9479,0.996,0.999
XMON-Grid K=1,case118,0,60,0,240,0.8,0.8,1.0,0.8889,1.0,0.0,0.5,0.996,0.999
NIS Standalone,case118,0,60,26,214,0.7133,0.781,0.8917,0.8327,1.0,0.0,0.4458,0.8761,0.9737
CUSUM Standalone,case118,60,0,1,239,0.9967,1.0,0.9958,0.9979,0.0,1.0,0.9979,1.0,1.0
Jitter Standalone,case118,60,0,234,6,0.22,1.0,0.025,0.0488,0.0,1.0,0.5125,0.7152,0.9281
