Method,TN,FP,FN,TP,Accuracy,Precision,Precision_CI,Recall,Recall_CI,F1,F1_CI,FPR,FPR_CI,Specificity,Balanced_Accuracy,ROC_AUC,PR_AUC
1. NIS Standalone,108,132,118,842,0.7917,0.8645,"[0.8421, 0.8858]",0.8771,"[0.8554, 0.8963]",0.8707,"[0.8524, 0.8853]",0.55,"[0.4856, 0.6137]",0.45,0.6635,0.8379,0.9589
2. CUSUM Standalone,237,3,3,957,0.995,0.9969,"[0.9927, 1.0000]",0.9969,"[0.9928, 1.0000]",0.9969,"[0.9942, 0.9990]",0.0125,"[0.0000, 0.0288]",0.9875,0.9922,0.9993,0.9998
3. Jitter Standalone,240,0,947,13,0.2108,1.0,"[1.0000, 1.0000]",0.0135,"[0.0072, 0.0218]",0.0267,"[0.0142, 0.0427]",0.0,"[0.0000, 0.0000]",1.0,0.5068,0.6262,0.8857
4. NIS + CUSUM (OR),107,133,0,960,0.8892,0.8783,"[0.8583, 0.8978]",1.0,"[1.0000, 1.0000]",0.9352,"[0.9238, 0.9462]",0.5542,"[0.4880, 0.6171]",0.4458,0.7229,N/A,N/A
5. NIS + Jitter (OR),108,132,114,846,0.795,0.865,"[0.8430, 0.8862]",0.8812,"[0.8600, 0.9005]",0.8731,"[0.8550, 0.8875]",0.55,"[0.4856, 0.6137]",0.45,0.6656,N/A,N/A
6. CUSUM + Jitter (OR),237,3,3,957,0.995,0.9969,"[0.9927, 1.0000]",0.9969,"[0.9928, 1.0000]",0.9969,"[0.9942, 0.9990]",0.0125,"[0.0000, 0.0288]",0.9875,0.9922,N/A,N/A
7. Simple 3-Detector Majority Vote,238,2,117,843,0.9008,0.9976,"[0.9940, 1.0000]",0.8781,"[0.8562, 0.8977]",0.9341,"[0.9215, 0.9449]",0.0083,"[0.0000, 0.0211]",0.9917,0.9349,N/A,N/A
8. Sequential-Only Detector,240,0,14,946,0.9883,1.0,"[1.0000, 1.0000]",0.9854,"[0.9768, 0.9928]",0.9927,"[0.9883, 0.9964]",0.0,"[0.0000, 0.0000]",1.0,0.9927,0.9987,0.9997
9. XMON-Grid K=2 (Strict Majority),238,2,117,843,0.9008,0.9976,"[0.9940, 1.0000]",0.8781,"[0.8562, 0.8977]",0.9341,"[0.9215, 0.9449]",0.0083,"[0.0000, 0.0211]",0.9917,0.9349,0.9924,0.9981
10. XMON-Grid K=1 (Sensitivity Mode),107,133,0,960,0.8892,0.8783,"[0.8583, 0.8978]",1.0,"[1.0000, 1.0000]",0.9352,"[0.9238, 0.9462]",0.5542,"[0.4880, 0.6171]",0.4458,0.7229,0.9924,0.9981
