Severity_Tier,Method,Samples,TN,FP,FN,TP,Accuracy,Precision,Recall,F1,FPR,Specificity,Balanced_Accuracy
Tier 1 (Subtle),XMON-Grid K=2,240,0,0,3,237,0.9875,1.0,0.9875,0.9937,0.0,0.0,0.4938
Tier 1 (Subtle),XMON-Grid K=1,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Tier 1 (Subtle),NIS Standalone,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Tier 1 (Subtle),CUSUM Standalone,240,0,0,3,237,0.9875,1.0,0.9875,0.9937,0.0,0.0,0.4938
Tier 1 (Subtle),Jitter Standalone,240,0,0,236,4,0.0167,1.0,0.0167,0.0328,0.0,0.0,0.0083
Tier 2 (Moderate),XMON-Grid K=2,240,0,0,105,135,0.5625,1.0,0.5625,0.72,0.0,0.0,0.2812
Tier 2 (Moderate),XMON-Grid K=1,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Tier 2 (Moderate),NIS Standalone,240,0,0,109,131,0.5458,1.0,0.5458,0.7062,0.0,0.0,0.2729
Tier 2 (Moderate),CUSUM Standalone,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Tier 2 (Moderate),Jitter Standalone,240,0,0,236,4,0.0167,1.0,0.0167,0.0328,0.0,0.0,0.0083
Tier 3 (Strong),XMON-Grid K=2,240,0,0,9,231,0.9625,1.0,0.9625,0.9809,0.0,0.0,0.4813
Tier 3 (Strong),XMON-Grid K=1,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Tier 3 (Strong),NIS Standalone,240,0,0,9,231,0.9625,1.0,0.9625,0.9809,0.0,0.0,0.4813
Tier 3 (Strong),CUSUM Standalone,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Tier 3 (Strong),Jitter Standalone,240,0,0,236,4,0.0167,1.0,0.0167,0.0328,0.0,0.0,0.0083
Tier 4 (Severe),XMON-Grid K=2,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Tier 4 (Severe),XMON-Grid K=1,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Tier 4 (Severe),NIS Standalone,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Tier 4 (Severe),CUSUM Standalone,240,0,0,0,240,1.0,1.0,1.0,1.0,0.0,0.0,0.5
Tier 4 (Severe),Jitter Standalone,240,0,0,239,1,0.0042,1.0,0.0042,0.0083,0.0,0.0,0.0021
